JOB ID,job_202102081239_1442
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,BerkeleyStan.vertex
VERTICES,685230
REAL EDGES,7600595
VIRTUAL EDGES,13298940
PARITIONS,4
REAL LOADS,1990386_2234642_1990340_1385227_
VIRTUAL LOADS,3543051_3938610_3518507_2298772_
VIRTUAL COUNTS,170277_169691_170369_174893_
REAL KLU,0.010360393
VIRTUAL KLU,0.01321921
VIRTUAL COUNT KLU,5.32625E-5
REAL AVGD KLU,0.01616269
VIRTUAL AVGD KLU,0.020304952

REAL E MAXNORMLOAD,1.176
REAL E MAXMINLOAD,1.613
REAL EB JSD,0.005330
REAL E KLU,0.010360
REAL V MAXNORMLOAD,1.021
REAL V MAXMINLOAD,1.031
REAL VB JSD,0.000027
REAL V KLU,0.000053
REAL AVGD MAXNORM,1.187
REAL AVGD MAXMIN,1.663
REAL AVGDB JSD,0.006013
REAL AVGD KLU,0.016163
REAL EC PCT,0.076
REAL COMMVOL PCT,0.114
REAL LOCE PCT,0.924
REAL EC,576813
REAL COMMVOL,261090
REAL LOCE,7023782
REAL COMMVOL NORMF,2284716
REAL SCORE,1463163.9333149984
VIRTUAL E MAXNORM LOAD,1.185
VIRTUAL E MAXMIN LOAD,1.713
VIRTUAL ED JSD,0.006851
VIRTUAL E KLU,0.013219
VIRTUAL V MAXNORM LOAD,1.021
VIRTUAL V MAXMIN LOAD,1.031
VIRTUAL VB JSD,0.000027
VIRTUAL V KLU,0.000053
VIRTUAL AVGD MAXNORM,1.196
VIRTUAL AVGD MAXMIN,1.766
VIRTUAL AVGDB JSD,0.007609
VIRTUAL AVGD KLU,0.020305
VIRTUAL EC PCT,0.075
VIRTUAL COMMVOL PCT,0.135
VIRTUAL LOCE PCT,0.925
VIRTUAL EC,993674
VIRTUAL COMMVOL,329055
VIRTUAL LOCE,12305266
VIRTUAL COMMVOL NORMF,2432868

SAMPLING START,2
SAMPLING END,24
SAMPLING CYCLES,7
SAMPLING EXTRA,1
LP START,25
LP END,54
LP CYCLES,15
TOT MIGRATIONS,944188

INITIAL MESSAGES,7600595
SAMPLING MESSAGES,21041961
LP MESSAGES,21951303
SHUTDOWN MESSAGES,160718
TOTAL MESSAGES,50754577

INPUT TIME (not included in total),2570
INITIALIZE TIME,2232
SETUP TIME,16
Initializing algorithm time,414
LP time,7343
Avg. LP cycle time,489
Sampling time,3166
Avg. Sampling cycle time,452.2857
TOTAL TIME,10923
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.015
TAU,5
SAMPLING_ERROR,false
