JOB ID,job_202102081239_0479
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,4
REAL LOADS,13019959_29145928_14384111_12443775_
VIRTUAL LOADS,15892401_37442101_17652438_15233916_
VIRTUAL COUNTS,1167967_1268677_1243646_1167281_
REAL KLU,0.05178504
VIRTUAL KLU,0.058710463
VIRTUAL COUNT KLU,4.9993885E-4
REAL AVGD KLU,0.05991131
VIRTUAL AVGD KLU,0.06870394

REAL E MAXNORMLOAD,1.690
REAL E MAXMINLOAD,2.342
REAL EB JSD,0.024667
REAL E KLU,0.051785
REAL V MAXNORMLOAD,1.047
REAL V MAXMINLOAD,1.087
REAL VB JSD,0.000250
REAL V KLU,0.000500
REAL AVGD MAXNORM,1.614
REAL AVGD MAXMIN,2.155
REAL AVGDB JSD,0.020604
REAL AVGD KLU,0.059911
REAL EC PCT,0.253
REAL COMMVOL PCT,0.352
REAL LOCE PCT,0.747
REAL EC,17460255
REAL COMMVOL,4638454
REAL LOCE,51533518
REAL COMMVOL NORMF,13171798
REAL SCORE,8972957.986567361
VIRTUAL E MAXNORM LOAD,1.737
VIRTUAL E MAXMIN LOAD,2.458
VIRTUAL ED JSD,0.027908
VIRTUAL E KLU,0.058710
VIRTUAL V MAXNORM LOAD,1.047
VIRTUAL V MAXMIN LOAD,1.087
VIRTUAL VB JSD,0.000250
VIRTUAL V KLU,0.000500
VIRTUAL AVGD MAXNORM,1.659
VIRTUAL AVGD MAXMIN,2.261
VIRTUAL AVGDB JSD,0.023576
VIRTUAL AVGD KLU,0.068704
VIRTUAL EC PCT,0.255
VIRTUAL COMMVOL PCT,0.397
VIRTUAL LOCE PCT,0.745
VIRTUAL EC,22017456
VIRTUAL COMMVOL,5880119
VIRTUAL LOCE,64203400
VIRTUAL COMMVOL NORMF,14820755

SAMPLING START,2
SAMPLING END,31
SAMPLING CYCLES,9
SAMPLING EXTRA,1
LP START,32
LP END,81
LP CYCLES,25
TOT MIGRATIONS,8427054

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,257385519
LP MESSAGES,204024285
SHUTDOWN MESSAGES,489100
TOTAL MESSAGES,530892677

INPUT TIME (not included in total),4692
INITIALIZE TIME,2167
SETUP TIME,18
Initializing algorithm time,7778
LP time,60463
Avg. LP cycle time,2418
Sampling time,9811
Avg. Sampling cycle time,1090.1111
TOTAL TIME,78052
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.02
TAU,15
SAMPLING_ERROR,false
