JOB ID,job_202102081239_2088
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,16
REAL LOADS,137561_122946_312691_257083_127313_122023_124566_173376_396563_471980_119702_126023_124295_129765_123923_117814_
VIRTUAL LOADS,296907_270885_579016_516656_277666_273172_272245_329933_715521_820565_265402_275432_262898_283046_271447_264457_
VIRTUAL COUNTS,70219_69560_74265_74283_69904_69466_69560_70246_74391_74337_69394_69730_70377_69996_69613_69549_
REAL KLU,0.05031044
VIRTUAL KLU,0.03380101
VIRTUAL COUNT KLU,1.3862614E-4
REAL AVGD KLU,0.12347824
VIRTUAL AVGD KLU,0.08063808

REAL E MAXNORMLOAD,2.528
REAL E MAXMINLOAD,4.006
REAL EB JSD,0.046477
REAL E KLU,0.050310
REAL V MAXNORMLOAD,1.049
REAL V MAXMINLOAD,1.072
REAL VB JSD,0.000138
REAL V KLU,0.000139
REAL AVGD MAXNORM,2.412
REAL AVGD MAXMIN,3.748
REAL AVGDB JSD,0.041186
REAL AVGD KLU,0.123478
REAL EC PCT,0.492
REAL COMMVOL PCT,0.396
REAL LOCE PCT,0.508
REAL EC,1468978
REAL COMMVOL,556015
REAL LOCE,1518646
REAL COMMVOL NORMF,1402509
REAL SCORE,1910922.6556652596
VIRTUAL E MAXNORM LOAD,2.197
VIRTUAL E MAXMIN LOAD,3.121
VIRTUAL ED JSD,0.031521
VIRTUAL E KLU,0.033801
VIRTUAL V MAXNORM LOAD,1.049
VIRTUAL V MAXMIN LOAD,1.072
VIRTUAL VB JSD,0.000138
VIRTUAL V KLU,0.000139
VIRTUAL AVGD MAXNORM,2.097
VIRTUAL AVGD MAXMIN,2.955
VIRTUAL AVGDB JSD,0.027169
VIRTUAL AVGD KLU,0.080638
VIRTUAL EC PCT,0.491
VIRTUAL COMMVOL PCT,0.433
VIRTUAL LOCE PCT,0.509
VIRTUAL EC,2934386
VIRTUAL COMMVOL,1512786
VIRTUAL LOCE,3040862
VIRTUAL COMMVOL NORMF,3490577

SAMPLING START,2
SAMPLING END,28
SAMPLING CYCLES,9
SAMPLING EXTRA,0
LP START,29
LP END,62
LP CYCLES,17
TOT MIGRATIONS,1721177

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,18608121
LP MESSAGES,16328202
SHUTDOWN MESSAGES,64464
TOTAL MESSAGES,37988411

INPUT TIME (not included in total),2746
INITIALIZE TIME,2213
SETUP TIME,14
Initializing algorithm time,440
LP time,18464
Avg. LP cycle time,1086
Sampling time,4886
Avg. Sampling cycle time,542.8889
TOTAL TIME,23790
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.01
TAU,15
SAMPLING_ERROR,false
