JOB ID,job_202102081239_2389
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,8
REAL LOADS,875050_878451_877544_875501_877887_874994_875720_878831_
VIRTUAL LOADS,1751105_1754407_1754953_1753534_1755062_1750353_1751050_1757492_
VIRTUAL COUNTS,835305_836051_836453_835971_835148_835266_835693_836606_
REAL KLU,6.9366723E-7
VIRTUAL KLU,4.1984853E-7
VIRTUAL COUNT KLU,9.1808474E-8
REAL AVGD KLU,1.0268026E-6
VIRTUAL AVGD KLU,5.089496E-7

REAL E MAXNORMLOAD,1.002
REAL E MAXMINLOAD,1.004
REAL EB JSD,0.000001
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.001
REAL V MAXMINLOAD,1.002
REAL VB JSD,0.000000
REAL V KLU,0.000000
REAL AVGD MAXNORM,1.002
REAL AVGD MAXMIN,1.004
REAL AVGDB JSD,0.000000
REAL AVGD KLU,0.000001
REAL EC PCT,0.416
REAL COMMVOL PCT,0.387
REAL LOCE PCT,0.584
REAL EC,2919126
REAL COMMVOL,2714845
REAL LOCE,4094852
REAL COMMVOL NORMF,7013978
REAL SCORE,1.1877013208022457E7
VIRTUAL E MAXNORM LOAD,1.002
VIRTUAL E MAXMIN LOAD,1.004
VIRTUAL ED JSD,0.000000
VIRTUAL E KLU,0.000000
VIRTUAL V MAXNORM LOAD,1.001
VIRTUAL V MAXMIN LOAD,1.002
VIRTUAL VB JSD,0.000000
VIRTUAL V KLU,0.000000
VIRTUAL AVGD MAXNORM,1.002
VIRTUAL AVGD MAXMIN,1.003
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000001
VIRTUAL EC PCT,0.427
VIRTUAL COMMVOL PCT,0.399
VIRTUAL LOCE PCT,0.573
VIRTUAL EC,5991065
VIRTUAL COMMVOL,5591309
VIRTUAL LOCE,8036891
VIRTUAL COMMVOL NORMF,14027955

SAMPLING START,2
SAMPLING END,28
SAMPLING CYCLES,8
SAMPLING EXTRA,1
LP START,29
LP END,150
LP CYCLES,61
TOT MIGRATIONS,20391784

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,18931579
LP MESSAGES,44899962
SHUTDOWN MESSAGES,266927
TOTAL MESSAGES,71112446

INPUT TIME (not included in total),4668
INITIALIZE TIME,2213
SETUP TIME,15
Initializing algorithm time,1291
LP time,193603
Avg. LP cycle time,3173
Sampling time,8550
Avg. Sampling cycle time,1068.75
TOTAL TIME,203444
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.01
TAU,5
SAMPLING_ERROR,false
