JOB ID,job_202102081239_1757
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,BerkeleyStan.vertex
VERTICES,685230
REAL EDGES,7600595
VIRTUAL EDGES,13298940
PARITIONS,4
REAL LOADS,1913409_1565577_2318509_1803100_
VIRTUAL LOADS,3452934_2626346_4242455_2977205_
VIRTUAL COUNTS,165892_165474_179497_174367_
REAL KLU,0.007300887
VIRTUAL KLU,0.011757571
VIRTUAL COUNT KLU,4.2829683E-4
REAL AVGD KLU,0.0068535106
VIRTUAL AVGD KLU,0.012528007

REAL E MAXNORMLOAD,1.220
REAL E MAXMINLOAD,1.481
REAL EB JSD,0.003630
REAL E KLU,0.007301
REAL V MAXNORMLOAD,1.048
REAL V MAXMINLOAD,1.085
REAL VB JSD,0.000214
REAL V KLU,0.000428
REAL AVGD MAXNORM,1.165
REAL AVGD MAXMIN,1.365
REAL AVGDB JSD,0.002468
REAL AVGD KLU,0.006854
REAL EC PCT,0.097
REAL COMMVOL PCT,0.126
REAL LOCE PCT,0.903
REAL EC,739889
REAL COMMVOL,287143
REAL LOCE,6860706
REAL COMMVOL NORMF,2284716
REAL SCORE,1474115.567562085
VIRTUAL E MAXNORM LOAD,1.276
VIRTUAL E MAXMIN LOAD,1.615
VIRTUAL ED JSD,0.005840
VIRTUAL E KLU,0.011758
VIRTUAL V MAXNORM LOAD,1.048
VIRTUAL V MAXMIN LOAD,1.085
VIRTUAL VB JSD,0.000214
VIRTUAL V KLU,0.000428
VIRTUAL AVGD MAXNORM,1.218
VIRTUAL AVGD MAXMIN,1.489
VIRTUAL AVGDB JSD,0.004509
VIRTUAL AVGD KLU,0.012528
VIRTUAL EC PCT,0.101
VIRTUAL COMMVOL PCT,0.145
VIRTUAL LOCE PCT,0.899
VIRTUAL EC,1340845
VIRTUAL COMMVOL,353191
VIRTUAL LOCE,11958095
VIRTUAL COMMVOL NORMF,2432868

SAMPLING START,2
SAMPLING END,34
SAMPLING CYCLES,10
SAMPLING EXTRA,0
LP START,35
LP END,64
LP CYCLES,15
TOT MIGRATIONS,1018146

INITIAL MESSAGES,7600595
SAMPLING MESSAGES,38581877
LP MESSAGES,23581733
SHUTDOWN MESSAGES,19666
TOTAL MESSAGES,69783871

INPUT TIME (not included in total),2639
INITIALIZE TIME,2241
SETUP TIME,15
Initializing algorithm time,1696
LP time,7012
Avg. LP cycle time,467
Sampling time,3642
Avg. Sampling cycle time,364.2
TOTAL TIME,12350
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.01
TAU,15
SAMPLING_ERROR,false
