JOB ID,job_202102081239_1005
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,8
REAL LOADS,695134_694188_685287_687346_695163_692316_696231_687549_
VIRTUAL LOADS,695134_694188_685287_687346_695163_692316_696231_687549_
VIRTUAL COUNTS,247197_246277_244150_244639_246178_245148_246837_244780_
REAL KLU,8.059792E-6
VIRTUAL KLU,8.059792E-6
VIRTUAL COUNT KLU,4.360371E-6
REAL AVGD KLU,2.719714E-6
VIRTUAL AVGD KLU,2.719714E-6

REAL E MAXNORMLOAD,1.007
REAL E MAXMINLOAD,1.016
REAL EB JSD,0.000006
REAL E KLU,0.000008
REAL V MAXNORMLOAD,1.006
REAL V MAXMINLOAD,1.012
REAL VB JSD,0.000003
REAL V KLU,0.000004
REAL AVGD MAXNORM,1.003
REAL AVGD MAXMIN,1.006
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000003
REAL EC PCT,0.467
REAL COMMVOL PCT,0.423
REAL LOCE PCT,0.533
REAL EC,2584326
REAL COMMVOL,2342089
REAL LOCE,2948888
REAL COMMVOL NORMF,5533205
REAL SCORE,3326795.4394461494
VIRTUAL E MAXNORM LOAD,1.007
VIRTUAL E MAXMIN LOAD,1.016
VIRTUAL ED JSD,0.000006
VIRTUAL E KLU,0.000008
VIRTUAL V MAXNORM LOAD,1.006
VIRTUAL V MAXMIN LOAD,1.012
VIRTUAL VB JSD,0.000003
VIRTUAL V KLU,0.000004
VIRTUAL AVGD MAXNORM,1.003
VIRTUAL AVGD MAXMIN,1.006
VIRTUAL AVGDB JSD,0.000001
VIRTUAL AVGD KLU,0.000003
VIRTUAL EC PCT,0.467
VIRTUAL COMMVOL PCT,0.423
VIRTUAL LOCE PCT,0.533
VIRTUAL EC,2584326
VIRTUAL COMMVOL,2342089
VIRTUAL LOCE,2948888
VIRTUAL COMMVOL NORMF,5533205

SAMPLING START,2
SAMPLING END,15
SAMPLING CYCLES,4
SAMPLING EXTRA,1
LP START,16
LP END,69
LP CYCLES,27
TOT MIGRATIONS,3828630

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,6958725
LP MESSAGES,11891769
SHUTDOWN MESSAGES,157222
TOTAL MESSAGES,24540930

INPUT TIME (not included in total),3427
INITIALIZE TIME,2219
SETUP TIME,16
Initializing algorithm time,568
LP time,27244
Avg. LP cycle time,1009
Sampling time,2973
Avg. Sampling cycle time,743.25
TOTAL TIME,30785
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.02
TAU,15
SAMPLING_ERROR,false
