JOB ID,job_202102241051_0120
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,16
REAL LOADS,346930_345375_344395_344095_345957_347989_348415_344225_346940_345578_346297_344034_346367_346353_343604_346660_
VIRTUAL LOADS,346930_345375_344395_344095_345957_347989_348415_344225_346940_345578_346297_344034_346367_346353_343604_346660_
VIRTUAL COUNTS,123078_122731_122287_122616_122846_123454_123572_122172_123275_122820_122936_122274_122851_122874_122231_123189_
REAL KLU,2.9559487E-6
VIRTUAL KLU,2.9559487E-6
VIRTUAL COUNT KLU,2.0869497E-6
REAL AVGD KLU,7.383399E-7
VIRTUAL AVGD KLU,7.383399E-7

REAL E MAXNORMLOAD,1.007
REAL E MAXMINLOAD,1.014
REAL EB JSD,0.000003
REAL E KLU,0.000003
REAL V MAXNORMLOAD,1.006
REAL V MAXMINLOAD,1.011
REAL VB JSD,0.000002
REAL V KLU,0.000002
REAL AVGD MAXNORM,1.001
REAL AVGD MAXMIN,1.005
REAL AVGDB JSD,0.000000
REAL AVGD KLU,0.000001
REAL EC PCT,0.616
REAL COMMVOL PCT,0.575
REAL LOCE PCT,0.384
REAL EC,3410105
REAL COMMVOL,3182529
REAL LOCE,2123109
REAL COMMVOL NORMF,5533214
REAL SCORE,2996987.1848128703
VIRTUAL E MAXNORM LOAD,1.007
VIRTUAL E MAXMIN LOAD,1.014
VIRTUAL ED JSD,0.000003
VIRTUAL E KLU,0.000003
VIRTUAL V MAXNORM LOAD,1.006
VIRTUAL V MAXMIN LOAD,1.011
VIRTUAL VB JSD,0.000002
VIRTUAL V KLU,0.000002
VIRTUAL AVGD MAXNORM,1.001
VIRTUAL AVGD MAXMIN,1.005
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000001
VIRTUAL EC PCT,0.616
VIRTUAL COMMVOL PCT,0.575
VIRTUAL LOCE PCT,0.384
VIRTUAL EC,3410105
VIRTUAL COMMVOL,3182529
VIRTUAL LOCE,2123109
VIRTUAL COMMVOL NORMF,5533214

SAMPLING START,2
SAMPLING END,26
SAMPLING CYCLES,7
SAMPLING EXTRA,1
LP START,27
LP END,64
LP CYCLES,19
TOT MIGRATIONS,2666848

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,18573149
LP MESSAGES,8635789
SHUTDOWN MESSAGES,17043
TOTAL MESSAGES,32759195

INPUT TIME (not included in total),3670
INITIALIZE TIME,2225
SETUP TIME,17
Initializing algorithm time,1706
LP time,33086
Avg. LP cycle time,1741
Sampling time,6255
Avg. Sampling cycle time,893.5714
TOTAL TIME,41047
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.015
TAU,5
SAMPLING_ERROR,false
