JOB ID,job_202102250107_0211
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,16
REAL LOADS,438668_435373_441616_435801_437983_435849_438234_435347_434923_441745_441693_438205_440454_436516_441078_440493_
VIRTUAL LOADS,877217_870081_883308_870712_875794_871942_876319_869658_869296_883479_883164_876908_880443_873362_883646_882627_
VIRTUAL COUNTS,418145_414632_420775_415158_417128_415781_418073_414850_414708_420973_420953_417708_419352_416005_421098_421154_
REAL KLU,5.6201525E-6
VIRTUAL KLU,6.5673507E-6
VIRTUAL COUNT KLU,6.2235827E-6
REAL AVGD KLU,5.1572243E-7
VIRTUAL AVGD KLU,1.9286468E-7

REAL E MAXNORMLOAD,1.008
REAL E MAXMINLOAD,1.016
REAL EB JSD,0.000006
REAL E KLU,0.000006
REAL V MAXNORMLOAD,1.008
REAL V MAXMINLOAD,1.016
REAL VB JSD,0.000006
REAL V KLU,0.000006
REAL AVGD MAXNORM,1.001
REAL AVGD MAXMIN,1.004
REAL AVGDB JSD,0.000000
REAL AVGD KLU,0.000001
REAL EC PCT,0.381
REAL COMMVOL PCT,0.365
REAL LOCE PCT,0.619
REAL EC,2671606
REAL COMMVOL,2559580
REAL LOCE,4342372
REAL COMMVOL NORMF,7013978
REAL SCORE,1.2438069854137475E7
VIRTUAL E MAXNORM LOAD,1.008
VIRTUAL E MAXMIN LOAD,1.017
VIRTUAL ED JSD,0.000007
VIRTUAL E KLU,0.000007
VIRTUAL V MAXNORM LOAD,1.008
VIRTUAL V MAXMIN LOAD,1.016
VIRTUAL VB JSD,0.000006
VIRTUAL V KLU,0.000006
VIRTUAL AVGD MAXNORM,1.001
VIRTUAL AVGD MAXMIN,1.002
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000000
VIRTUAL EC PCT,0.398
VIRTUAL COMMVOL PCT,0.380
VIRTUAL LOCE PCT,0.602
VIRTUAL EC,5579010
VIRTUAL COMMVOL,5336541
VIRTUAL LOCE,8448946
VIRTUAL COMMVOL NORMF,14027956

SAMPLING START,2
SAMPLING END,29
SAMPLING CYCLES,8
SAMPLING EXTRA,1
LP START,30
LP END,185
LP CYCLES,78
TOT MIGRATIONS,25496772

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,48057531
LP MESSAGES,56785376
SHUTDOWN MESSAGES,281791
TOTAL MESSAGES,112138676

INPUT TIME (not included in total),5203
INITIALIZE TIME,2196
SETUP TIME,18
Initializing algorithm time,3739
LP time,406916
Avg. LP cycle time,5216
Sampling time,14308
Avg. Sampling cycle time,1788.5
TOTAL TIME,424963
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.015
TAU,10
SAMPLING_ERROR,false
