JOB ID,job_local2072435736_0001
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleGD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,4
REAL LOADS,6180_5877_5968_6161_
VIRTUAL LOADS,7090_6749_6840_7569_
VIRTUAL COUNTS,889_1199_886_809_
REAL KLU,1.6256E-4
VIRTUAL KLU,7.2528096E-4
VIRTUAL COUNT KLU,0.008637437
REAL AVGD KLU,0.012380238
VIRTUAL AVGD KLU,0.015603658

REAL E MAXNORMLOAD,1.022
REAL E MAXMINLOAD,1.052
REAL EB JSD,0.000081
REAL E KLU,0.000163
REAL V MAXNORMLOAD,1.268
REAL V MAXMINLOAD,1.482
REAL VB JSD,0.004228
REAL V KLU,0.008637
REAL AVGD MAXNORM,1.191
REAL AVGD MAXMIN,1.554
REAL AVGDB JSD,0.004582
REAL AVGD KLU,0.012380
REAL EC PCT,0.457
REAL COMMVOL PCT,0.423
REAL LOCE PCT,0.543
REAL EC,11054
REAL COMMVOL,3452
REAL LOCE,13132
REAL COMMVOL NORMF,8154
REAL SCORE,2352.291248320501
VIRTUAL E MAXNORM LOAD,1.072
VIRTUAL E MAXMIN LOAD,1.121
VIRTUAL ED JSD,0.000361
VIRTUAL E KLU,0.000725
VIRTUAL V MAXNORM LOAD,1.268
VIRTUAL V MAXMIN LOAD,1.482
VIRTUAL VB JSD,0.004228
VIRTUAL V KLU,0.008637
VIRTUAL AVGD MAXNORM,1.253
VIRTUAL AVGD MAXMIN,1.662
VIRTUAL AVGDB JSD,0.005735
VIRTUAL AVGD KLU,0.015604
VIRTUAL EC PCT,0.457
VIRTUAL COMMVOL PCT,0.449
VIRTUAL LOCE PCT,0.543
VIRTUAL EC,12904
VIRTUAL COMMVOL,4193
VIRTUAL LOCE,15344
VIRTUAL COMMVOL NORMF,9333

SAMPLING START,2
SAMPLING END,19
SAMPLING CYCLES,5
SAMPLING EXTRA,0
LP START,20
LP END,61
LP CYCLES,21
TOT MIGRATIONS,5602

INITIAL MESSAGES,24186
SAMPLING MESSAGES,70644
LP MESSAGES,59416
SHUTDOWN MESSAGES,1507
TOTAL MESSAGES,155753

INPUT TIME (not included in total),731
INITIALIZE TIME,344
SETUP TIME,33
Initializing algorithm time,268
LP time,2982
Avg. LP cycle time,142
Sampling time,840
Avg. Sampling cycle time,168.0
TOTAL TIME,4090
OUT DEGREE THRESHOLD,0
BETA,329
SIGMA,33
TAU,5
SAMPLING_ERROR,false
