JOB ID,job_local1255353803_0001
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleGD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,4
REAL LOADS,6234_6009_6045_5898_
VIRTUAL LOADS,7148_7310_7126_6664_
VIRTUAL COUNTS,863_841_902_1177_
REAL KLU,1.4414267E-4
VIRTUAL KLU,4.225535E-4
VIRTUAL COUNT KLU,0.0070552602
REAL AVGD KLU,0.00989699
VIRTUAL AVGD KLU,0.012496207

REAL E MAXNORMLOAD,1.031
REAL E MAXMINLOAD,1.057
REAL EB JSD,0.000072
REAL E KLU,0.000144
REAL V MAXNORMLOAD,1.245
REAL V MAXMINLOAD,1.400
REAL VB JSD,0.003452
REAL V KLU,0.007055
REAL AVGD MAXNORM,1.130
REAL AVGD MAXMIN,1.442
REAL AVGDB JSD,0.003667
REAL AVGD KLU,0.009897
REAL EC PCT,0.451
REAL COMMVOL PCT,0.411
REAL LOCE PCT,0.549
REAL EC,10899
REAL COMMVOL,3353
REAL LOCE,13287
REAL COMMVOL NORMF,8154
REAL SCORE,2463.6227541132193
VIRTUAL E MAXNORM LOAD,1.035
VIRTUAL E MAXMIN LOAD,1.097
VIRTUAL ED JSD,0.000212
VIRTUAL E KLU,0.000423
VIRTUAL V MAXNORM LOAD,1.245
VIRTUAL V MAXMIN LOAD,1.400
VIRTUAL VB JSD,0.003452
VIRTUAL V KLU,0.007055
VIRTUAL AVGD MAXNORM,1.164
VIRTUAL AVGD MAXMIN,1.535
VIRTUAL AVGDB JSD,0.004645
VIRTUAL AVGD KLU,0.012496
VIRTUAL EC PCT,0.450
VIRTUAL COMMVOL PCT,0.439
VIRTUAL LOCE PCT,0.550
VIRTUAL EC,12725
VIRTUAL COMMVOL,4093
VIRTUAL LOCE,15523
VIRTUAL COMMVOL NORMF,9333

SAMPLING START,2
SAMPLING END,16
SAMPLING CYCLES,4
SAMPLING EXTRA,1
LP START,17
LP END,64
LP CYCLES,24
TOT MIGRATIONS,6056

INITIAL MESSAGES,24186
SAMPLING MESSAGES,70431
LP MESSAGES,63207
SHUTDOWN MESSAGES,967
TOTAL MESSAGES,158791

INPUT TIME (not included in total),704
INITIALIZE TIME,336
SETUP TIME,28
Initializing algorithm time,363
LP time,3070
Avg. LP cycle time,127
Sampling time,647
Avg. Sampling cycle time,161.75
TOTAL TIME,4080
OUT DEGREE THRESHOLD,0
BETA,329
SIGMA,33
TAU,5
SAMPLING_ERROR,false
