JOB ID,job_local56304430_0001
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleGD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,4
REAL LOADS,6212_5830_6013_6131_
VIRTUAL LOADS,7156_6599_7229_7264_
VIRTUAL COUNTS,992_947_932_912_
REAL KLU,2.0425227E-4
VIRTUAL KLU,5.3535495E-4
VIRTUAL COUNT KLU,3.4773548E-4
REAL AVGD KLU,5.627014E-4
VIRTUAL AVGD KLU,0.0014427198

REAL E MAXNORMLOAD,1.027
REAL E MAXMINLOAD,1.066
REAL EB JSD,0.000102
REAL E KLU,0.000204
REAL V MAXNORMLOAD,1.049
REAL V MAXMINLOAD,1.088
REAL VB JSD,0.000173
REAL V KLU,0.000348
REAL AVGD MAXNORM,1.051
REAL AVGD MAXMIN,1.092
REAL AVGDB JSD,0.000202
REAL AVGD KLU,0.000563
REAL EC PCT,0.420
REAL COMMVOL PCT,0.397
REAL LOCE PCT,0.580
REAL EC,10161
REAL COMMVOL,3237
REAL LOCE,14025
REAL COMMVOL NORMF,8154
REAL SCORE,2414.1482525472084
VIRTUAL E MAXNORM LOAD,1.029
VIRTUAL E MAXMIN LOAD,1.101
VIRTUAL ED JSD,0.000270
VIRTUAL E KLU,0.000535
VIRTUAL V MAXNORM LOAD,1.049
VIRTUAL V MAXMIN LOAD,1.088
VIRTUAL VB JSD,0.000173
VIRTUAL V KLU,0.000348
VIRTUAL AVGD MAXNORM,1.067
VIRTUAL AVGD MAXMIN,1.143
VIRTUAL AVGDB JSD,0.000521
VIRTUAL AVGD KLU,0.001443
VIRTUAL EC PCT,0.424
VIRTUAL COMMVOL PCT,0.426
VIRTUAL LOCE PCT,0.576
VIRTUAL EC,11987
VIRTUAL COMMVOL,3977
VIRTUAL LOCE,16261
VIRTUAL COMMVOL NORMF,9333

SAMPLING START,2
SAMPLING END,16
SAMPLING CYCLES,4
SAMPLING EXTRA,0
LP START,17
LP END,64
LP CYCLES,24
TOT MIGRATIONS,6066

INITIAL MESSAGES,24186
SAMPLING MESSAGES,72328
LP MESSAGES,65619
SHUTDOWN MESSAGES,822
TOTAL MESSAGES,162955

INPUT TIME (not included in total),753
INITIALIZE TIME,334
SETUP TIME,33
Initializing algorithm time,299
LP time,3048
Avg. LP cycle time,127
Sampling time,692
Avg. Sampling cycle time,173.0
TOTAL TIME,4039
OUT DEGREE THRESHOLD,0
BETA,329
SIGMA,33
TAU,5
SAMPLING_ERROR,false
