JOB ID,job_202101261615_0115
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleHD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,8
REAL LOADS,2948_3138_3058_3018_2954_3088_2999_2983_
VIRTUAL LOADS,3481_3716_3523_3478_3400_3658_3700_3292_
VIRTUAL COUNTS,570_470_405_514_383_364_515_562_
REAL KLU,1.0245756E-4
VIRTUAL KLU,3.831255E-4
VIRTUAL COUNT KLU,0.006194287
REAL AVGD KLU,0.015072236
VIRTUAL AVGD KLU,0.01581402

REAL E MAXNORMLOAD,1.038
REAL E MAXMINLOAD,1.064
REAL EB JSD,0.000077
REAL E KLU,0.000102
REAL V MAXNORMLOAD,1.205
REAL V MAXMINLOAD,1.566
REAL VB JSD,0.004689
REAL V KLU,0.006194
REAL AVGD MAXNORM,1.327
REAL AVGD MAXMIN,1.640
REAL AVGDB JSD,0.005418
REAL AVGD KLU,0.015072
REAL EC PCT,0.566
REAL COMMVOL PCT,0.456
REAL LOCE PCT,0.434
REAL EC,13681
REAL COMMVOL,5195
REAL LOCE,10505
REAL COMMVOL NORMF,11400
REAL SCORE,2419.192899294662
VIRTUAL E MAXNORM LOAD,1.052
VIRTUAL E MAXMIN LOAD,1.129
VIRTUAL ED JSD,0.000288
VIRTUAL E KLU,0.000383
VIRTUAL V MAXNORM LOAD,1.205
VIRTUAL V MAXMIN LOAD,1.566
VIRTUAL VB JSD,0.004689
VIRTUAL V KLU,0.006194
VIRTUAL AVGD MAXNORM,1.346
VIRTUAL AVGD MAXMIN,1.716
VIRTUAL AVGDB JSD,0.005701
VIRTUAL AVGD KLU,0.015814
VIRTUAL EC PCT,0.562
VIRTUAL COMMVOL PCT,0.480
VIRTUAL LOCE PCT,0.438
VIRTUAL EC,15884
VIRTUAL COMMVOL,6251
VIRTUAL LOCE,12364
VIRTUAL COMMVOL NORMF,13033

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,0
LP START,23
LP END,86
LP CYCLES,32
TOT MIGRATIONS,6669

INITIAL MESSAGES,24186
SAMPLING MESSAGES,86419
LP MESSAGES,83728
SHUTDOWN MESSAGES,1015
TOTAL MESSAGES,195348

INPUT TIME (not included in total),276
INITIALIZE TIME,172
SETUP TIME,12
Initializing algorithm time,99
LP time,1632
Avg. LP cycle time,51
Sampling time,351
Avg. Sampling cycle time,58.5
TOTAL TIME,2082
OUT DEGREE THRESHOLD,0
BETA,493
SIGMA,66
TAU,10
SAMPLING_ERROR,false
