JOB ID,job_202101261615_6996
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,8
REAL LOADS,9044589_8391163_8465378_8793824_8650418_8464985_8530487_8652929_
VIRTUAL LOADS,11983106_10254540_10326441_10873463_10707404_11179356_10393863_10502683_
VIRTUAL COUNTS,291427_761847_827930_668139_674917_420653_536867_665791_
REAL KLU,1.2871716E-4
VIRTUAL KLU,5.913278E-4
VIRTUAL COUNT KLU,0.020015264
REAL AVGD KLU,0.07068323
VIRTUAL AVGD KLU,0.08492146

REAL E MAXNORMLOAD,1.049
REAL E MAXMINLOAD,1.078
REAL EB JSD,0.000096
REAL E KLU,0.000129
REAL V MAXNORMLOAD,1.366
REAL V MAXMINLOAD,2.841
REAL VB JSD,0.015796
REAL V KLU,0.020015
REAL AVGD MAXNORM,2.181
REAL AVGD MAXMIN,3.035
REAL AVGDB JSD,0.024046
REAL AVGD KLU,0.070683
REAL EC PCT,0.322
REAL COMMVOL PCT,0.310
REAL LOCE PCT,0.678
REAL EC,22203841
REAL COMMVOL,6638821
REAL LOCE,46789932
REAL COMMVOL NORMF,21388505
REAL SCORE,3385773.909708227
VIRTUAL E MAXNORM LOAD,1.112
VIRTUAL E MAXMIN LOAD,1.169
VIRTUAL ED JSD,0.000439
VIRTUAL E KLU,0.000591
VIRTUAL V MAXNORM LOAD,1.366
VIRTUAL V MAXMIN LOAD,2.841
VIRTUAL VB JSD,0.015796
VIRTUAL V KLU,0.020015
VIRTUAL AVGD MAXNORM,2.312
VIRTUAL AVGD MAXMIN,3.297
VIRTUAL AVGDB JSD,0.028773
VIRTUAL AVGD KLU,0.084921
VIRTUAL EC PCT,0.327
VIRTUAL COMMVOL PCT,0.347
VIRTUAL LOCE PCT,0.673
VIRTUAL EC,28225743
VIRTUAL COMMVOL,8336902
VIRTUAL LOCE,57995113
VIRTUAL COMMVOL NORMF,24057216

SAMPLING START,2
SAMPLING END,40
SAMPLING CYCLES,12
SAMPLING EXTRA,0
LP START,41
LP END,128
LP CYCLES,44
TOT MIGRATIONS,10994591

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,267632158
LP MESSAGES,249098188
SHUTDOWN MESSAGES,637938
TOTAL MESSAGES,586362057

INPUT TIME (not included in total),4390
INITIALIZE TIME,2229
SETUP TIME,15
Initializing algorithm time,7903
LP time,126658
Avg. LP cycle time,2878
Sampling time,12616
Avg. Sampling cycle time,1051.3334
TOTAL TIME,147177
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.01
TAU,10
SAMPLING_ERROR,false
