JOB ID,job_202101261615_3588
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,8
REAL LOADS,363739_367476_362141_390755_363980_390970_361661_386902_
VIRTUAL LOADS,720206_749285_761981_735308_780693_706745_773290_747740_
VIRTUAL COUNTS,110892_182554_177484_67476_198004_64349_186418_147713_
REAL KLU,2.7308302E-4
VIRTUAL KLU,2.448295E-4
VIRTUAL COUNT KLU,0.03406503
REAL AVGD KLU,0.11907581
VIRTUAL AVGD KLU,0.09316863

REAL E MAXNORMLOAD,1.047
REAL E MAXMINLOAD,1.081
REAL EB JSD,0.000204
REAL E KLU,0.000273
REAL V MAXNORMLOAD,1.396
REAL V MAXMINLOAD,3.077
REAL VB JSD,0.027105
REAL V KLU,0.034065
REAL AVGD MAXNORM,2.308
REAL AVGD MAXMIN,3.305
REAL AVGDB JSD,0.041408
REAL AVGD KLU,0.119076
REAL EC PCT,0.430
REAL COMMVOL PCT,0.325
REAL LOCE PCT,0.570
REAL EC,1285536
REAL COMMVOL,365732
REAL LOCE,1702088
REAL COMMVOL NORMF,1126986
REAL SCORE,778505.5224703194
VIRTUAL E MAXNORM LOAD,1.045
VIRTUAL E MAXMIN LOAD,1.105
VIRTUAL ED JSD,0.000184
VIRTUAL E KLU,0.000245
VIRTUAL V MAXNORM LOAD,1.396
VIRTUAL V MAXMIN LOAD,3.077
VIRTUAL VB JSD,0.027105
VIRTUAL V KLU,0.034065
VIRTUAL AVGD MAXNORM,2.086
VIRTUAL AVGD MAXMIN,2.786
VIRTUAL AVGDB JSD,0.032408
VIRTUAL AVGD KLU,0.093169
VIRTUAL EC PCT,0.430
VIRTUAL COMMVOL PCT,0.387
VIRTUAL LOCE PCT,0.570
VIRTUAL EC,2568087
VIRTUAL COMMVOL,1122826
VIRTUAL LOCE,3407161
VIRTUAL COMMVOL NORMF,2898284

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,23
LP END,82
LP CYCLES,30
TOT MIGRATIONS,2155643

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,18849786
LP MESSAGES,17923916
SHUTDOWN MESSAGES,102326
TOTAL MESSAGES,39863652

INPUT TIME (not included in total),2759
INITIALIZE TIME,2231
SETUP TIME,14
Initializing algorithm time,2033
LP time,19309
Avg. LP cycle time,643
Sampling time,2899
Avg. Sampling cycle time,483.16666
TOTAL TIME,24241
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.01
TAU,5
SAMPLING_ERROR,false
