JOB ID,job_202101261615_5550
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,4
REAL LOADS,1751004_1755892_1752889_1754193_
VIRTUAL LOADS,3501477_3512475_3501392_3512612_
VIRTUAL COUNTS,1670163_1672446_1675164_1668720_
REAL KLU,3.7552581E-7
VIRTUAL KLU,9.0486037E-7
VIRTUAL COUNT KLU,7.670711E-7
REAL AVGD KLU,1.4604567E-6
VIRTUAL AVGD KLU,3.3215672E-6

REAL E MAXNORMLOAD,1.001
REAL E MAXMINLOAD,1.003
REAL EB JSD,0.000000
REAL E KLU,0.000000
REAL V MAXNORMLOAD,1.002
REAL V MAXMINLOAD,1.004
REAL VB JSD,0.000000
REAL V KLU,0.000001
REAL AVGD MAXNORM,1.002
REAL AVGD MAXMIN,1.005
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000001
REAL EC PCT,0.582
REAL COMMVOL PCT,0.503
REAL LOCE PCT,0.418
REAL EC,4081275
REAL COMMVOL,3529666
REAL LOCE,2932703
REAL COMMVOL NORMF,7013971
REAL SCORE,3048856.6725332974
VIRTUAL E MAXNORM LOAD,1.002
VIRTUAL E MAXMIN LOAD,1.003
VIRTUAL ED JSD,0.000000
VIRTUAL E KLU,0.000001
VIRTUAL V MAXNORM LOAD,1.002
VIRTUAL V MAXMIN LOAD,1.004
VIRTUAL VB JSD,0.000000
VIRTUAL V KLU,0.000001
VIRTUAL AVGD MAXNORM,1.003
VIRTUAL AVGD MAXMIN,1.007
VIRTUAL AVGDB JSD,0.000001
VIRTUAL AVGD KLU,0.000003
VIRTUAL EC PCT,0.582
VIRTUAL COMMVOL PCT,0.508
VIRTUAL LOCE PCT,0.418
VIRTUAL EC,8163029
VIRTUAL COMMVOL,7119151
VIRTUAL LOCE,5864927
VIRTUAL COMMVOL NORMF,14025256

SAMPLING START,2
SAMPLING END,24
SAMPLING CYCLES,7
SAMPLING EXTRA,1
LP START,25
LP END,56
LP CYCLES,16
TOT MIGRATIONS,7960156

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,18572122
LP MESSAGES,19057648
SHUTDOWN MESSAGES,102495
TOTAL MESSAGES,44746243

INPUT TIME (not included in total),4633
INITIALIZE TIME,2207
SETUP TIME,15
Initializing algorithm time,1243
LP time,37251
Avg. LP cycle time,2328
Sampling time,6988
Avg. Sampling cycle time,998.2857
TOTAL TIME,45482
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.015
TAU,15
SAMPLING_ERROR,false
