JOB ID,job_202101261615_2413
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleGD
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,4
REAL LOADS,747216_751774_737003_751631_
VIRTUAL LOADS,1508434_1473659_1514039_1479116_
VIRTUAL COUNTS,225689_261907_334150_313144_
REAL KLU,2.3359875E-5
VIRTUAL KLU,5.0310344E-5
VIRTUAL COUNT KLU,0.008237966
REAL AVGD KLU,0.012539203
VIRTUAL AVGD KLU,0.012274099

REAL E MAXNORMLOAD,1.007
REAL E MAXMINLOAD,1.020
REAL EB JSD,0.000012
REAL E KLU,0.000023
REAL V MAXNORMLOAD,1.178
REAL V MAXMINLOAD,1.481
REAL VB JSD,0.004153
REAL V KLU,0.008238
REAL AVGD MAXNORM,1.258
REAL AVGD MAXMIN,1.501
REAL AVGDB JSD,0.004508
REAL AVGD KLU,0.012539
REAL EC PCT,0.273
REAL COMMVOL PCT,0.270
REAL LOCE PCT,0.727
REAL EC,815926
REAL COMMVOL,229666
REAL LOCE,2171698
REAL COMMVOL NORMF,850988
REAL SCORE,861158.1643586991
VIRTUAL E MAXNORM LOAD,1.014
VIRTUAL E MAXMIN LOAD,1.027
VIRTUAL ED JSD,0.000025
VIRTUAL E KLU,0.000050
VIRTUAL V MAXNORM LOAD,1.178
VIRTUAL V MAXMIN LOAD,1.481
VIRTUAL VB JSD,0.004153
VIRTUAL V KLU,0.008238
VIRTUAL AVGD MAXNORM,1.269
VIRTUAL AVGD MAXMIN,1.475
VIRTUAL AVGDB JSD,0.004389
VIRTUAL AVGD KLU,0.012274
VIRTUAL EC PCT,0.273
VIRTUAL COMMVOL PCT,0.315
VIRTUAL LOCE PCT,0.727
VIRTUAL EC,1629551
VIRTUAL COMMVOL,716023
VIRTUAL LOCE,4345697
VIRTUAL COMMVOL NORMF,2274609

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,23
LP END,100
LP CYCLES,39
TOT MIGRATIONS,2342768

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,16622403
LP MESSAGES,16672701
SHUTDOWN MESSAGES,95063
TOTAL MESSAGES,36377791

INPUT TIME (not included in total),2943
INITIALIZE TIME,2183
SETUP TIME,25
Initializing algorithm time,1909
LP time,18524
Avg. LP cycle time,474
Sampling time,2902
Avg. Sampling cycle time,483.66666
TOTAL TIME,23335
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.01
TAU,0
SAMPLING_ERROR,false
