JOB ID,job_202101261615_5621
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,16
REAL LOADS,436854_436207_437630_440457_438933_440156_437698_439612_439927_439363_434492_439031_440138_435629_439738_438113_
VIRTUAL LOADS,872961_871753_873578_880168_878024_880222_876711_878474_880289_877635_872371_877959_879499_874489_878582_875241_
VIRTUAL COUNTS,417529_416943_418815_417924_419584_418243_417019_421090_418488_420420_411476_417451_420740_411527_421218_418026_
REAL KLU,2.8675656E-6
VIRTUAL KLU,1.906537E-6
VIRTUAL COUNT KLU,8.002675E-6
REAL AVGD KLU,8.605586E-6
VIRTUAL AVGD KLU,1.5274023E-5

REAL E MAXNORMLOAD,1.005
REAL E MAXMINLOAD,1.014
REAL EB JSD,0.000003
REAL E KLU,0.000003
REAL V MAXNORMLOAD,1.008
REAL V MAXMINLOAD,1.024
REAL VB JSD,0.000008
REAL V KLU,0.000008
REAL AVGD MAXNORM,1.009
REAL AVGD MAXMIN,1.014
REAL AVGDB JSD,0.000003
REAL AVGD KLU,0.000009
REAL EC PCT,0.728
REAL COMMVOL PCT,0.688
REAL LOCE PCT,0.272
REAL EC,5103398
REAL COMMVOL,4823688
REAL LOCE,1910580
REAL COMMVOL NORMF,7013978
REAL SCORE,2021052.7450133436
VIRTUAL E MAXNORM LOAD,1.004
VIRTUAL E MAXMIN LOAD,1.010
VIRTUAL ED JSD,0.000002
VIRTUAL E KLU,0.000002
VIRTUAL V MAXNORM LOAD,1.008
VIRTUAL V MAXMIN LOAD,1.024
VIRTUAL VB JSD,0.000008
VIRTUAL V KLU,0.000008
VIRTUAL AVGD MAXNORM,1.013
VIRTUAL AVGD MAXMIN,1.019
VIRTUAL AVGDB JSD,0.000006
VIRTUAL AVGD KLU,0.000015
VIRTUAL EC PCT,0.728
VIRTUAL COMMVOL PCT,0.690
VIRTUAL LOCE PCT,0.272
VIRTUAL EC,10207058
VIRTUAL COMMVOL,9672860
VIRTUAL LOCE,3820898
VIRTUAL COMMVOL NORMF,14027956

SAMPLING START,2
SAMPLING END,33
SAMPLING CYCLES,10
SAMPLING EXTRA,1
LP START,34
LP END,85
LP CYCLES,26
TOT MIGRATIONS,10012200

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,19942643
LP MESSAGES,24749021
SHUTDOWN MESSAGES,231868
TOTAL MESSAGES,51937510

INPUT TIME (not included in total),5150
INITIALIZE TIME,2159
SETUP TIME,14
Initializing algorithm time,1582
LP time,129228
Avg. LP cycle time,4970
Sampling time,9503
Avg. Sampling cycle time,950.3
TOTAL TIME,140313
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.01
TAU,5
SAMPLING_ERROR,false
