JOB ID,job_202101261615_6674
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,4
REAL LOADS,17146071_16608973_17640824_17597905_
VIRTUAL LOADS,22370258_20480761_21731324_21638513_
VIRTUAL COUNTS,800355_1479112_1230194_1337910_
REAL KLU,2.1175701E-4
VIRTUAL KLU,3.6252788E-4
VIRTUAL COUNT KLU,0.016884066
REAL AVGD KLU,0.031014275
VIRTUAL AVGD KLU,0.03806795

REAL E MAXNORMLOAD,1.023
REAL E MAXMINLOAD,1.062
REAL EB JSD,0.000106
REAL E KLU,0.000212
REAL V MAXNORMLOAD,1.220
REAL V MAXMINLOAD,1.848
REAL VB JSD,0.008758
REAL V KLU,0.016884
REAL AVGD MAXNORM,1.505
REAL AVGD MAXMIN,1.908
REAL AVGDB JSD,0.010919
REAL AVGD KLU,0.031014
REAL EC PCT,0.187
REAL COMMVOL PCT,0.278
REAL LOCE PCT,0.813
REAL EC,12923096
REAL COMMVOL,3667326
REAL LOCE,56070677
REAL COMMVOL NORMF,13171798
REAL SCORE,3827678.338880497
VIRTUAL E MAXNORM LOAD,1.038
VIRTUAL E MAXMIN LOAD,1.092
VIRTUAL ED JSD,0.000182
VIRTUAL E KLU,0.000363
VIRTUAL V MAXNORM LOAD,1.220
VIRTUAL V MAXMIN LOAD,1.848
VIRTUAL VB JSD,0.008758
VIRTUAL V KLU,0.016884
VIRTUAL AVGD MAXNORM,1.571
VIRTUAL AVGD MAXMIN,2.019
VIRTUAL AVGDB JSD,0.013337
VIRTUAL AVGD KLU,0.038068
VIRTUAL EC PCT,0.188
VIRTUAL COMMVOL PCT,0.315
VIRTUAL LOCE PCT,0.812
VIRTUAL EC,16229051
VIRTUAL COMMVOL,4663183
VIRTUAL LOCE,69991805
VIRTUAL COMMVOL NORMF,14820755

SAMPLING START,2
SAMPLING END,33
SAMPLING CYCLES,10
SAMPLING EXTRA,1
LP START,34
LP END,105
LP CYCLES,36
TOT MIGRATIONS,9191726

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,167494166
LP MESSAGES,212906219
SHUTDOWN MESSAGES,407193
TOTAL MESSAGES,449801351

INPUT TIME (not included in total),4722
INITIALIZE TIME,2246
SETUP TIME,14
Initializing algorithm time,2613
LP time,79974
Avg. LP cycle time,2221
Sampling time,10183
Avg. Sampling cycle time,1018.3
TOTAL TIME,92770
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.02
TAU,10
SAMPLING_ERROR,false
