JOB ID,job_202101261615_4227
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,4
REAL LOADS,1378312_1387153_1379228_1388521_
VIRTUAL LOADS,1378312_1387153_1379228_1388521_
VIRTUAL COUNTS,489185_496439_490428_489154_
REAL KLU,3.937675E-6
VIRTUAL KLU,3.937675E-6
VIRTUAL COUNT KLU,1.3511733E-5
REAL AVGD KLU,1.5798696E-5
VIRTUAL AVGD KLU,1.5798696E-5

REAL E MAXNORMLOAD,1.004
REAL E MAXMINLOAD,1.007
REAL EB JSD,0.000002
REAL E KLU,0.000004
REAL V MAXNORMLOAD,1.010
REAL V MAXMINLOAD,1.015
REAL VB JSD,0.000007
REAL V KLU,0.000014
REAL AVGD MAXNORM,1.008
REAL AVGD MAXMIN,1.016
REAL AVGDB JSD,0.000006
REAL AVGD KLU,0.000016
REAL EC PCT,0.418
REAL COMMVOL PCT,0.347
REAL LOCE PCT,0.582
REAL EC,2311349
REAL COMMVOL,1913239
REAL LOCE,3221865
REAL COMMVOL NORMF,5516959
REAL SCORE,1164850.1055892115
VIRTUAL E MAXNORM LOAD,1.004
VIRTUAL E MAXMIN LOAD,1.007
VIRTUAL ED JSD,0.000002
VIRTUAL E KLU,0.000004
VIRTUAL V MAXNORM LOAD,1.010
VIRTUAL V MAXMIN LOAD,1.015
VIRTUAL VB JSD,0.000007
VIRTUAL V KLU,0.000014
VIRTUAL AVGD MAXNORM,1.008
VIRTUAL AVGD MAXMIN,1.016
VIRTUAL AVGDB JSD,0.000006
VIRTUAL AVGD KLU,0.000016
VIRTUAL EC PCT,0.418
VIRTUAL COMMVOL PCT,0.347
VIRTUAL LOCE PCT,0.582
VIRTUAL EC,2311349
VIRTUAL COMMVOL,1913239
VIRTUAL LOCE,3221865
VIRTUAL COMMVOL NORMF,5516959

SAMPLING START,2
SAMPLING END,13
SAMPLING CYCLES,3
SAMPLING EXTRA,1
LP START,14
LP END,71
LP CYCLES,29
TOT MIGRATIONS,3923273

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,12648455
LP MESSAGES,12154788
SHUTDOWN MESSAGES,202351
TOTAL MESSAGES,30538808

INPUT TIME (not included in total),3685
INITIALIZE TIME,2221
SETUP TIME,15
Initializing algorithm time,2438
LP time,20018
Avg. LP cycle time,690
Sampling time,1922
Avg. Sampling cycle time,640.6667
TOTAL TIME,24378
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.02
TAU,10
SAMPLING_ERROR,false
