JOB ID,job_202101261615_3458
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,16
REAL LOADS,183739_184665_179965_182644_184000_186800_175415_194046_190488_185971_201007_185709_189588_182118_194837_186632_
VIRTUAL LOADS,388912_345071_318621_378222_395388_415056_361568_383431_351738_389406_380645_341263_345906_394317_394407_391297_
VIRTUAL COUNTS,96604_31956_24854_77462_108837_90818_86784_92914_31518_89281_71412_31418_31397_100658_73117_95860_
REAL KLU,1.8629293E-4
VIRTUAL KLU,8.432935E-4
VIRTUAL COUNT KLU,0.03412226
REAL AVGD KLU,0.14737083
VIRTUAL AVGD KLU,0.11407073

REAL E MAXNORMLOAD,1.076
REAL E MAXMINLOAD,1.146
REAL EB JSD,0.000186
REAL E KLU,0.000186
REAL V MAXNORMLOAD,1.534
REAL V MAXMINLOAD,4.379
REAL VB JSD,0.036707
REAL V KLU,0.034122
REAL AVGD MAXNORM,2.751
REAL AVGD MAXMIN,4.283
REAL AVGDB JSD,0.051635
REAL AVGD KLU,0.147371
REAL EC PCT,0.531
REAL COMMVOL PCT,0.360
REAL LOCE PCT,0.469
REAL EC,1585368
REAL COMMVOL,504612
REAL LOCE,1402256
REAL COMMVOL NORMF,1402509
REAL SCORE,788217.0179418336
VIRTUAL E MAXNORM LOAD,1.111
VIRTUAL E MAXMIN LOAD,1.303
VIRTUAL ED JSD,0.000849
VIRTUAL E KLU,0.000843
VIRTUAL V MAXNORM LOAD,1.534
VIRTUAL V MAXMIN LOAD,4.379
VIRTUAL VB JSD,0.036707
VIRTUAL V KLU,0.034122
VIRTUAL AVGD MAXNORM,2.435
VIRTUAL AVGD MAXMIN,3.529
VIRTUAL AVGDB JSD,0.039956
VIRTUAL AVGD KLU,0.114071
VIRTUAL EC PCT,0.528
VIRTUAL COMMVOL PCT,0.425
VIRTUAL LOCE PCT,0.472
VIRTUAL EC,3157661
VIRTUAL COMMVOL,1484125
VIRTUAL LOCE,2817587
VIRTUAL COMMVOL NORMF,3490577

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,23
LP END,68
LP CYCLES,23
TOT MIGRATIONS,2316744

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,18531066
LP MESSAGES,18247192
SHUTDOWN MESSAGES,208235
TOTAL MESSAGES,39974117

INPUT TIME (not included in total),3003
INITIALIZE TIME,2227
SETUP TIME,13
Initializing algorithm time,2001
LP time,22580
Avg. LP cycle time,981
Sampling time,2990
Avg. Sampling cycle time,498.33334
TOTAL TIME,27571
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.01
TAU,5
SAMPLING_ERROR,false
