JOB ID,job_202101261615_5982
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,4
REAL LOADS,1747848_1754118_1755090_1756922_
VIRTUAL LOADS,3498623_3503530_3514184_3511619_
VIRTUAL COUNTS,1658525_1677275_1675276_1675417_
REAL KLU,1.3663025E-6
VIRTUAL KLU,1.1376427E-6
VIRTUAL COUNT KLU,7.474493E-6
REAL AVGD KLU,4.053185E-6
VIRTUAL AVGD KLU,6.250732E-6

REAL E MAXNORMLOAD,1.002
REAL E MAXMINLOAD,1.005
REAL EB JSD,0.000001
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.003
REAL V MAXMINLOAD,1.011
REAL VB JSD,0.000004
REAL V KLU,0.000007
REAL AVGD MAXNORM,1.005
REAL AVGD MAXMIN,1.008
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000004
REAL EC PCT,0.585
REAL COMMVOL PCT,0.506
REAL LOCE PCT,0.415
REAL EC,4105959
REAL COMMVOL,3551966
REAL LOCE,2908019
REAL COMMVOL NORMF,7013971
REAL SCORE,3021435.8544397512
VIRTUAL E MAXNORM LOAD,1.002
VIRTUAL E MAXMIN LOAD,1.004
VIRTUAL ED JSD,0.000001
VIRTUAL E KLU,0.000001
VIRTUAL V MAXNORM LOAD,1.003
VIRTUAL V MAXMIN LOAD,1.011
VIRTUAL VB JSD,0.000004
VIRTUAL V KLU,0.000007
VIRTUAL AVGD MAXNORM,1.005
VIRTUAL AVGD MAXMIN,1.010
VIRTUAL AVGDB JSD,0.000002
VIRTUAL AVGD KLU,0.000006
VIRTUAL EC PCT,0.585
VIRTUAL COMMVOL PCT,0.511
VIRTUAL LOCE PCT,0.415
VIRTUAL EC,8211671
VIRTUAL COMMVOL,7160229
VIRTUAL LOCE,5816285
VIRTUAL COMMVOL NORMF,14025256

SAMPLING START,2
SAMPLING END,19
SAMPLING CYCLES,5
SAMPLING EXTRA,1
LP START,20
LP END,47
LP CYCLES,14
TOT MIGRATIONS,7868799

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,32911287
LP MESSAGES,18970647
SHUTDOWN MESSAGES,97334
TOTAL MESSAGES,58993246

INPUT TIME (not included in total),4681
INITIALIZE TIME,2219
SETUP TIME,13
Initializing algorithm time,4788
LP time,32837
Avg. LP cycle time,2345
Sampling time,5316
Avg. Sampling cycle time,1063.2
TOTAL TIME,42941
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.02
TAU,10
SAMPLING_ERROR,false
