JOB ID,job_202101261615_4195
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,16
REAL LOADS,350364_350070_347978_342193_347910_342475_342345_341804_344899_348469_343024_342700_351682_351717_343118_342466_
VIRTUAL LOADS,350364_350070_347978_342193_347910_342475_342345_341804_344899_348469_343024_342700_351682_351717_343118_342466_
VIRTUAL COUNTS,125124_122886_124640_122267_123888_123091_123011_121380_122878_122537_121778_120660_123154_123939_122355_121618_
REAL KLU,2.0082878E-5
VIRTUAL KLU,2.0082878E-5
VIRTUAL COUNT KLU,1.57665E-5
REAL AVGD KLU,3.1948694E-5
VIRTUAL AVGD KLU,3.1948694E-5

REAL E MAXNORMLOAD,1.017
REAL E MAXMINLOAD,1.029
REAL EB JSD,0.000020
REAL E KLU,0.000020
REAL V MAXNORMLOAD,1.019
REAL V MAXMINLOAD,1.037
REAL VB JSD,0.000016
REAL V KLU,0.000016
REAL AVGD MAXNORM,1.014
REAL AVGD MAXMIN,1.026
REAL AVGDB JSD,0.000012
REAL AVGD KLU,0.000032
REAL EC PCT,0.452
REAL COMMVOL PCT,0.428
REAL LOCE PCT,0.548
REAL EC,2498441
REAL COMMVOL,2365738
REAL LOCE,3034773
REAL COMMVOL NORMF,5533214
REAL SCORE,1097622.2522537871
VIRTUAL E MAXNORM LOAD,1.017
VIRTUAL E MAXMIN LOAD,1.029
VIRTUAL ED JSD,0.000020
VIRTUAL E KLU,0.000020
VIRTUAL V MAXNORM LOAD,1.019
VIRTUAL V MAXMIN LOAD,1.037
VIRTUAL VB JSD,0.000016
VIRTUAL V KLU,0.000016
VIRTUAL AVGD MAXNORM,1.014
VIRTUAL AVGD MAXMIN,1.026
VIRTUAL AVGDB JSD,0.000012
VIRTUAL AVGD KLU,0.000032
VIRTUAL EC PCT,0.452
VIRTUAL COMMVOL PCT,0.428
VIRTUAL LOCE PCT,0.548
VIRTUAL EC,2498441
VIRTUAL COMMVOL,2365738
VIRTUAL LOCE,3034773
VIRTUAL COMMVOL NORMF,5533214

SAMPLING START,2
SAMPLING END,19
SAMPLING CYCLES,5
SAMPLING EXTRA,1
LP START,20
LP END,117
LP CYCLES,49
TOT MIGRATIONS,5923228

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,12611541
LP MESSAGES,18006771
SHUTDOWN MESSAGES,259528
TOTAL MESSAGES,36411054

INPUT TIME (not included in total),3286
INITIALIZE TIME,2212
SETUP TIME,13
Initializing algorithm time,2154
LP time,71865
Avg. LP cycle time,1466
Sampling time,2542
Avg. Sampling cycle time,508.4
TOTAL TIME,76561
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.015
TAU,10
SAMPLING_ERROR,false
