JOB ID,job_202101261615_3245
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,8
REAL LOADS,375854_372892_376577_365999_379428_375045_365213_376616_
VIRTUAL LOADS,802241_724049_777122_689609_718619_796847_721185_745576_
VIRTUAL COUNTS,190848_104352_193211_101158_105809_193571_144284_101657_
REAL KLU,4.05491E-5
VIRTUAL KLU,6.3089206E-4
VIRTUAL COUNT KLU,0.020233775
REAL AVGD KLU,0.038533777
VIRTUAL AVGD KLU,0.029207448

REAL E MAXNORMLOAD,1.016
REAL E MAXMINLOAD,1.039
REAL EB JSD,0.000030
REAL E KLU,0.000041
REAL V MAXNORMLOAD,1.365
REAL V MAXMINLOAD,1.914
REAL VB JSD,0.015154
REAL V KLU,0.020234
REAL AVGD MAXNORM,1.407
REAL AVGD MAXMIN,1.912
REAL AVGDB JSD,0.014135
REAL AVGD KLU,0.038534
REAL EC PCT,0.522
REAL COMMVOL PCT,0.396
REAL LOCE PCT,0.478
REAL EC,1558579
REAL COMMVOL,445932
REAL LOCE,1429045
REAL COMMVOL NORMF,1126986
REAL SCORE,669795.7642343029
VIRTUAL E MAXNORM LOAD,1.074
VIRTUAL E MAXMIN LOAD,1.163
VIRTUAL ED JSD,0.000473
VIRTUAL E KLU,0.000631
VIRTUAL V MAXNORM LOAD,1.365
VIRTUAL V MAXMIN LOAD,1.914
VIRTUAL VB JSD,0.015154
VIRTUAL V KLU,0.020234
VIRTUAL AVGD MAXNORM,1.393
VIRTUAL AVGD MAXMIN,1.823
VIRTUAL AVGDB JSD,0.010655
VIRTUAL AVGD KLU,0.029207
VIRTUAL EC PCT,0.519
VIRTUAL COMMVOL PCT,0.467
VIRTUAL LOCE PCT,0.481
VIRTUAL EC,3100047
VIRTUAL COMMVOL,1354494
VIRTUAL LOCE,2875201
VIRTUAL COMMVOL NORMF,2898284

SAMPLING START,2
SAMPLING END,21
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,22
LP END,57
LP CYCLES,18
TOT MIGRATIONS,1702848

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,12814123
LP MESSAGES,15693448
SHUTDOWN MESSAGES,217183
TOTAL MESSAGES,31712378

INPUT TIME (not included in total),2797
INITIALIZE TIME,2242
SETUP TIME,16
Initializing algorithm time,500
LP time,12445
Avg. LP cycle time,691
Sampling time,3353
Avg. Sampling cycle time,558.8333
TOTAL TIME,16298
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.015
TAU,10
SAMPLING_ERROR,false
