JOB ID,job_202101261615_5973
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,8
REAL LOADS,876328_878603_875918_879028_878255_873611_874634_877601_
VIRTUAL LOADS,1751890_1758202_1750972_1758693_1760846_1746928_1747675_1752750_
VIRTUAL COUNTS,840864_832413_833134_838578_829756_834167_834910_842671_
REAL KLU,1.0486908E-6
VIRTUAL KLU,1.8541574E-6
VIRTUAL COUNT KLU,5.983228E-6
REAL AVGD KLU,1.39677E-5
VIRTUAL AVGD KLU,1.9436911E-5

REAL E MAXNORMLOAD,1.003
REAL E MAXMINLOAD,1.006
REAL EB JSD,0.000001
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.008
REAL V MAXMINLOAD,1.016
REAL VB JSD,0.000004
REAL V KLU,0.000006
REAL AVGD MAXNORM,1.009
REAL AVGD MAXMIN,1.016
REAL AVGDB JSD,0.000005
REAL AVGD KLU,0.000014
REAL EC PCT,0.689
REAL COMMVOL PCT,0.636
REAL LOCE PCT,0.311
REAL EC,4834475
REAL COMMVOL,4459920
REAL LOCE,2179503
REAL COMMVOL NORMF,7013978
REAL SCORE,2308148.6478022225
VIRTUAL E MAXNORM LOAD,1.004
VIRTUAL E MAXMIN LOAD,1.008
VIRTUAL ED JSD,0.000001
VIRTUAL E KLU,0.000002
VIRTUAL V MAXNORM LOAD,1.008
VIRTUAL V MAXMIN LOAD,1.016
VIRTUAL VB JSD,0.000004
VIRTUAL V KLU,0.000006
VIRTUAL AVGD MAXNORM,1.012
VIRTUAL AVGD MAXMIN,1.020
VIRTUAL AVGDB JSD,0.000007
VIRTUAL AVGD KLU,0.000019
VIRTUAL EC PCT,0.689
VIRTUAL COMMVOL PCT,0.638
VIRTUAL LOCE PCT,0.311
VIRTUAL EC,9668912
VIRTUAL COMMVOL,8947717
VIRTUAL LOCE,4359044
VIRTUAL COMMVOL NORMF,14027955

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,23
LP END,56
LP CYCLES,17
TOT MIGRATIONS,8648977

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,32913033
LP MESSAGES,20784043
SHUTDOWN MESSAGES,140782
TOTAL MESSAGES,60851836

INPUT TIME (not included in total),4658
INITIALIZE TIME,2186
SETUP TIME,14
Initializing algorithm time,4771
LP time,55201
Avg. LP cycle time,3247
Sampling time,6099
Avg. Sampling cycle time,1016.5
TOTAL TIME,66071
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.02
TAU,5
SAMPLING_ERROR,false
