JOB ID,job_202101261615_6795
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,4
REAL LOADS,17833678_16990796_17788164_16381135_
VIRTUAL LOADS,23283818_20767289_22226688_19943061_
VIRTUAL COUNTS,881880_1362245_1046885_1556561_
REAL KLU,4.4215206E-4
VIRTUAL KLU,0.0012910102
VIRTUAL COUNT KLU,0.017165473
REAL AVGD KLU,0.031848066
VIRTUAL AVGD KLU,0.038941037

REAL E MAXNORMLOAD,1.034
REAL E MAXMINLOAD,1.089
REAL EB JSD,0.000222
REAL E KLU,0.000442
REAL V MAXNORMLOAD,1.284
REAL V MAXMINLOAD,1.765
REAL VB JSD,0.008639
REAL V KLU,0.017165
REAL AVGD MAXNORM,1.421
REAL AVGD MAXMIN,1.922
REAL AVGDB JSD,0.011538
REAL AVGD KLU,0.031848
REAL EC PCT,0.188
REAL COMMVOL PCT,0.271
REAL LOCE PCT,0.812
REAL EC,12948622
REAL COMMVOL,3566133
REAL LOCE,56045151
REAL COMMVOL NORMF,13171798
REAL SCORE,3873978.242952155
VIRTUAL E MAXNORM LOAD,1.080
VIRTUAL E MAXMIN LOAD,1.168
VIRTUAL ED JSD,0.000645
VIRTUAL E KLU,0.001291
VIRTUAL V MAXNORM LOAD,1.284
VIRTUAL V MAXMIN LOAD,1.765
VIRTUAL VB JSD,0.008639
VIRTUAL V KLU,0.017165
VIRTUAL AVGD MAXNORM,1.484
VIRTUAL AVGD MAXMIN,2.061
VIRTUAL AVGDB JSD,0.014073
VIRTUAL AVGD KLU,0.038941
VIRTUAL EC PCT,0.190
VIRTUAL COMMVOL PCT,0.306
VIRTUAL LOCE PCT,0.810
VIRTUAL EC,16355887
VIRTUAL COMMVOL,4539230
VIRTUAL LOCE,69864969
VIRTUAL COMMVOL NORMF,14820755

SAMPLING START,2
SAMPLING END,34
SAMPLING CYCLES,10
SAMPLING EXTRA,1
LP START,35
LP END,120
LP CYCLES,43
TOT MIGRATIONS,9879800

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,246244632
LP MESSAGES,220741279
SHUTDOWN MESSAGES,342827
TOTAL MESSAGES,536322511

INPUT TIME (not included in total),4394
INITIALIZE TIME,2225
SETUP TIME,15
Initializing algorithm time,7705
LP time,92656
Avg. LP cycle time,2154
Sampling time,9281
Avg. Sampling cycle time,928.1
TOTAL TIME,109642
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.02
TAU,5
SAMPLING_ERROR,false
