MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202101261615_1703,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.15,16,1134890,2987624,5975248,23056,2830,18293,1918294.5447988403,1756688,2.280,2.021,1.046,1474568,0.494,2944146,0.493,0.000159,0.039366,0.026803
Vertex,job_202101261615_2205,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.01,0.2,4,685230,7600595,13298940,12812,3529,7553,1443548.7943967106,958932,1.145,1.147,1.047,751095,0.099,1302857,0.098,0.000235,0.002429,0.002737
Vertex,job_202101261615_1751,8,Youtube.vertex,InitializeSampleGD,5,0.015,0.1,16,1134890,2987624,5975248,24868,3039,20037,1847628.2766923727,1874812,2.627,2.286,1.046,1473054,0.493,2941324,0.492,0.000146,0.045088,0.031676
Vertex,job_202101261615_1592,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.1,16,1134890,2987624,5975248,23399,4061,18938,1906044.9260600624,1819526,2.271,2.116,1.045,1483349,0.496,2960123,0.495,0.000143,0.036841,0.025807
Vertex,job_202101261615_1841,8,RoadCanada.vertex,InitializeSampleRD,5,0.02,0.1,16,1965206,5533214,5533214,35111,3185,31302,2996993.4854081227,2711758,1.009,1.009,1.007,3412931,0.617,3412931,0.617,0.000002,0.000003,0.000003
Vertex,job_202101261615_2260,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.01,0.15,8,685230,7600595,13298940,15447,4353,8961,1463758.1714928702,1084599,1.310,1.416,1.049,980993,0.129,1754365,0.132,0.000302,0.008389,0.013133
Vertex,job_202101261615_1679,8,Youtube.vertex,InitializeSampleHD,5,0.02,0.1,16,1134890,2987624,5975248,22599,2394,18286,1917064.5694173095,1765800,2.430,2.128,1.044,1478485,0.495,2949892,0.494,0.000130,0.036221,0.025141
Vertex,job_202101261615_2300,8,BerkeleyStan.vertex,InitializeSampleGD,5,0.02,0.2,16,685230,7600595,13298940,18499,4260,12258,1407452.452547527,1071117,1.514,1.746,1.104,1848846,0.243,3442171,0.259,0.000445,0.014172,0.016819
Vertex,job_202101261615_1930,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.15,8,1965206,5533214,5533214,32201,2592,27375,3330822.458301694,3782781,1.009,1.009,1.006,2587779,0.468,2587779,0.468,0.000001,0.000004,0.000004
Vertex,job_202101261615_1934,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.15,16,1965206,5533214,5533214,35297,3056,29870,2983368.427074629,2659196,1.006,1.006,1.005,3441105,0.622,3441105,0.622,0.000001,0.000001,0.000001
