MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202102081239_1868,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.015,0.2,8,685230,7600595,13298940,15231,3487,9962,1450718.0103609895,1078905,1.498,1.523,1.049,1103864,0.145,1981911,0.149,0.000146,0.013619,0.018245
Vertex,job_202102081239_1101,8,RoadCanada.vertex,InitializeSampleRD,10,0.01,0.2,4,1965206,5533214,5533214,22679,4036,18196,3381448.1812416143,3660195,1.002,1.002,1.002,2234681,0.404,2234681,0.404,0.000000,0.000001,0.000001
Vertex,job_202102081239_1531,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.015,0.15,4,685230,7600595,13298940,10233,3463,6356,1481274.3416103513,977766,1.462,1.518,1.037,611583,0.080,1099269,0.083,0.000082,0.012552,0.015071
Vertex,job_202102081239_0489,8,LiveJournal.vertex,InitializeSampleHD,5,0.01,0.2,4,4847571,68993773,86220856,82526,13115,61425,9194896.453141598,8502641,1.197,1.237,1.046,15156484,0.220,19181750,0.222,0.000458,0.005189,0.006373
Vertex,job_202102081239_2272,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.15,8,1134890,2987624,5975248,20519,2541,16010,1945884.7646118158,1884003,1.667,1.541,1.047,1161225,0.389,2319031,0.388,0.000403,0.026734,0.019219
Vertex,job_202102081239_1396,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.2,4,1965206,5533214,5533214,19990,2872,14765,3293330.350041573,2988830,1.004,1.004,1.004,2434169,0.440,2434169,0.440,0.000001,0.000002,0.000002
Vertex,job_202102081239_1936,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.1,4,1134890,2987624,5975248,18567,7704,10432,1930546.6824008843,1822432,1.670,1.577,1.048,893038,0.299,1782902,0.298,0.000436,0.028724,0.021250
Vertex,job_202102081239_1393,8,RoadCanada.vertex,InitializeSampleHD,5,0.02,0.2,16,1965206,5533214,5533214,35381,2907,30099,2978577.52707462,2622288,1.005,1.005,1.005,3447917,0.623,3447917,0.623,0.000001,0.000001,0.000001
Vertex,job_202102081239_0968,8,RoadCanada.vertex,InitializeSampleRD,10,0.015,0.1,8,1965206,5533214,5533214,32081,3128,28377,3341079.2808507914,3891673,1.005,1.005,1.003,2560939,0.463,2560939,0.463,0.000001,0.000003,0.000003
Vertex,job_202102081239_2127,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.2,4,1134890,2987624,5975248,12155,3571,8120,1910751.3797406529,1591006,1.685,1.561,1.045,1055761,0.353,2103185,0.352,0.000329,0.031627,0.021693
Vertex,job_202102081239_0463,8,LiveJournal.vertex,InitializeSampleHD,5,0.02,0.15,8,4847571,68993773,86220856,113944,11548,94307,9047652.999335341,9498773,1.836,1.912,1.048,18807043,0.273,23709394,0.275,0.000460,0.020923,0.023352
Vertex,job_202102081239_0092,8,LiveJournal.vertex,InitializeSampleRD,10,0.01,0.1,4,4847571,68993773,86220856,82879,8887,71978,9346554.104678776,9022289,1.101,1.137,1.046,13486912,0.195,17009661,0.197,0.001042,0.001401,0.002055
Vertex,job_202102081239_1154,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.2,4,1965206,5533214,5533214,21334,4785,15979,3368968.438881069,3362106,1.003,1.003,1.002,2272783,0.411,2272783,0.411,0.000001,0.000002,0.000002
Vertex,job_202102081239_1665,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.01,0.1,16,685230,7600595,13298940,18123,2989,13417,1450914.564612261,1194996,1.987,2.046,1.258,1323994,0.174,2467855,0.186,0.001132,0.020845,0.017743
Vertex,job_202102081239_0820,8,Youtube.vertex,InitializeSampleGD,0,0.01,0.2,4,1134890,2987624,5975248,13804,2921,8965,1868307.218660018,1658911,1.797,1.663,1.046,1046609,0.350,2088113,0.349,0.000295,0.037720,0.026516
Vertex,job_202102081239_1852,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.015,0.2,16,685230,7600595,13298940,19046,4195,13001,1427649.3992065818,1105063,1.983,2.059,1.050,1457343,0.192,2650735,0.199,0.000361,0.027414,0.033963
Vertex,job_202102081239_2649,8,RoadItaly.vertex,InitializeSampleHD,15,0.01,0.1,4,6686493,7013978,14027956,102687,5125,93085,1.1433692079847515E7,14477586,1.003,1.002,1.001,2982513,0.425,6061323,0.432,0.000000,0.000001,0.000000
Vertex,job_202102081239_2435,8,RoadItaly.vertex,InitializeSampleRD,15,0.015,0.1,8,6686493,7013978,14027956,209249,6065,202012,1.1925789853601122E7,20533325,1.002,1.002,1.001,2891738,0.412,5931762,0.423,0.000000,0.000001,0.000000
