MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102222248_0370,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.2,8,1134890,2987624,5975248,93163,11396,19617,752005.3681787673,2150973,1.046,1.047,1.342,1286499,0.431,2561171,0.429,0.015356,0.000222,0.000342
Edge,job_202102222248_0105,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.1,16,1134890,2987624,5975248,113963,10650,39575,837187.4795072118,2583915,1.056,1.083,1.563,1319609,0.442,2640004,0.442,0.025059,0.000594,0.000924
Edge,job_202102222248_0589,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.15,4,6686493,7013978,14027956,52408,12697,36295,3061309.1192644667,7792565,1.001,1.001,1.002,4078336,0.581,8156335,0.581,0.000001,0.000000,0.000000
Edge,job_202102221335_0033,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.1,4,1965206,5533214,5533214,28698,5140,21971,1168476.9855072126,4010543,1.007,1.007,1.009,2302905,0.416,2302905,0.416,0.000006,0.000005,0.000005
Edge,job_202102222248_0402,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.2,16,1134890,2987624,5975248,93376,11209,24496,789194.306936369,2259974,1.033,1.055,1.500,1541962,0.516,3066418,0.513,0.027260,0.000079,0.000528
Edge,job_202102222248_0625,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.15,8,6686493,7013978,14027956,76939,13729,59779,2366113.19805576,8779944,1.003,1.003,1.003,4772886,0.680,9546316,0.681,0.000001,0.000001,0.000001
Edge,job_202102222248_0698,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.2,8,6686493,7013978,14027956,79118,16115,59740,2356987.3337367414,8634386,1.004,1.005,1.003,4787349,0.683,9574011,0.682,0.000001,0.000002,0.000002
Edge,job_202102222248_0203,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.15,8,1134890,2987624,5975248,92841,10316,19159,849580.354920134,2260200,1.043,1.035,1.398,1186235,0.397,2368792,0.396,0.021244,0.000149,0.000215
Edge,job_202102222248_0199,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.15,4,1134890,2987624,5975248,92162,10709,16109,850302.1560264353,1959692,1.037,1.028,1.399,849225,0.284,1695646,0.284,0.012424,0.000185,0.000205
Edge,job_202102222248_0250,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.15,8,1134890,2987624,5975248,95821,9902,20841,783518.1046352506,2211597,1.045,1.068,1.479,1250225,0.418,2494710,0.418,0.017069,0.000217,0.000242
Edge,job_202102222248_0122,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.1,4,1134890,2987624,5975248,83443,11331,14181,830780.6716088727,1923125,1.005,1.024,1.070,875222,0.293,1742368,0.292,0.000520,0.000003,0.000137
Edge,job_202102222248_0727,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.2,8,6686493,7013978,14027956,76511,14914,57920,2376948.1704808185,8684126,1.004,1.005,1.005,4757312,0.678,9514705,0.678,0.000001,0.000002,0.000002
Edge,job_202102221335_0201,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,4,1965206,5533214,5533214,27523,4828,21156,1166474.7523659822,3849244,1.008,1.008,1.006,2314420,0.418,2314420,0.418,0.000003,0.000005,0.000005
Edge,job_202102222248_0657,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.15,16,6686493,7013978,14027956,138781,10878,123899,1997073.8899991591,10128803,1.004,1.005,1.006,5120723,0.730,10241723,0.730,0.000003,0.000001,0.000001
Edge,job_202102222248_0108,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,4,1134890,2987624,5975248,86642,10974,15192,828860.7710317456,1953725,1.018,1.029,1.202,878310,0.294,1753273,0.293,0.005760,0.000043,0.000104
Edge,job_202102222248_0107,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,4,1134890,2987624,5975248,87718,10516,18035,843906.8063582864,2079597,1.039,1.040,1.065,812858,0.272,1625549,0.272,0.000392,0.000169,0.000130
Edge,job_202102222248_0523,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.1,16,6686493,7013978,14027956,140552,9731,127033,1996879.2329399546,10346058,1.010,1.012,1.009,5115415,0.729,10230098,0.729,0.000005,0.000006,0.000006
Edge,job_202102222248_0706,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,4,6686493,7013978,14027956,53246,14628,34582,3081601.0027343845,7614748,1.001,1.000,1.004,4053073,0.578,8106431,0.578,0.000002,0.000000,0.000000
Edge,job_202102221335_0164,8,RoadCanada.vertex,InitializeSampleCC,10,0.01,0.15,16,1965206,5533214,5533214,81998,5892,74524,1085598.4724918306,5790145,1.018,1.018,1.019,2532888,0.458,2532888,0.458,0.000024,0.000020,0.000020
Edge,job_202102222248_0424,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.1,4,6686493,7013978,14027956,50437,12932,34234,2996001.615006143,7952983,1.001,1.002,1.003,4145400,0.591,8290946,0.591,0.000001,0.000000,0.000000
Edge,job_202102222248_0596,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.15,16,6686493,7013978,14027956,143934,12340,127458,1992252.6733179172,10152737,1.008,1.009,1.007,5126832,0.731,10252875,0.731,0.000007,0.000005,0.000005
Edge,job_202102222248_0211,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.15,4,1134890,2987624,5975248,93879,10532,17804,875630.0348855935,2005794,1.002,1.042,1.210,771779,0.258,1542229,0.258,0.004018,0.000001,0.000146
Edge,job_202102222248_0758,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.2,8,6686493,7013978,14027956,80551,14210,62737,2344045.3705489426,8772589,1.005,1.006,1.006,4794825,0.684,9588989,0.684,0.000004,0.000002,0.000002
Edge,job_202102222248_0719,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,16,6686493,7013978,14027956,131494,14659,112807,2017494.2864210382,9771807,1.006,1.008,1.008,5107152,0.728,10214284,0.728,0.000005,0.000003,0.000004
Edge,job_202102222248_0129,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.1,8,1134890,2987624,5975248,95901,10377,20513,794450.5415945218,2198067,1.048,1.028,1.417,1197095,0.401,2390865,0.400,0.027418,0.000229,0.000111
Edge,job_202102222248_0492,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.1,16,6686493,7013978,14027956,136191,11652,121083,2003407.578323797,10250630,1.003,1.005,1.005,5107768,0.728,10216194,0.728,0.000003,0.000001,0.000001
Edge,job_202102222248_0798,8,RoadItaly.vertex,InitializeSampleCC,15,0.02,0.2,4,6686493,7013978,14027956,47824,13288,30599,3118367.212898402,7724365,1.003,1.002,1.004,4005223,0.571,8010008,0.571,0.000001,0.000001,0.000000
Edge,job_202102221335_0321,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.2,4,1965206,5533214,5533214,26741,5402,19736,1178341.633175481,3714063,1.007,1.007,1.006,2282691,0.413,2282691,0.413,0.000003,0.000004,0.000004
Edge,job_202102221335_0398,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.2,8,1965206,5533214,5533214,43662,5049,36964,1107972.530873733,4753409,1.012,1.012,1.004,2455225,0.444,2455225,0.444,0.000002,0.000010,0.000010
Edge,job_202102222248_0204,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.15,8,1134890,2987624,5975248,101797,11049,18705,764421.5492997782,2000377,1.049,1.048,1.474,1228265,0.411,2445976,0.409,0.020353,0.000230,0.000214
Edge,job_202102222248_0041,8,Youtube.vertex,InitializeSampleCC,15,0.01,0.1,16,1134890,2987624,5975248,105300,10539,35226,804529.8368088105,2499970,1.049,1.062,1.507,1438109,0.481,2871708,0.481,0.029701,0.000209,0.000318
Edge,job_202102222248_0239,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.15,16,1134890,2987624,5975248,95556,10471,26290,796909.9557251006,2306777,1.052,1.069,1.496,1484664,0.497,2960315,0.495,0.023659,0.000116,0.000419
Edge,job_202102222248_0071,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.1,16,1134890,2987624,5975248,83720,10969,8536,737721.3573261208,2184582,1.045,1.121,1.471,1899375,0.636,3795881,0.635,0.031594,0.000399,0.002508
Edge,job_202102221335_0258,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,4,1965206,5533214,5533214,27389,4728,21150,1166061.7263814437,3876990,1.006,1.006,1.010,2307998,0.417,2307998,0.417,0.000006,0.000006,0.000006
Edge,job_202102221335_0058,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.1,16,1965206,5533214,5533214,79330,4182,73559,1090098.6190161642,5808283,1.018,1.018,1.020,2516894,0.455,2516894,0.455,0.000020,0.000020,0.000020
Edge,job_202102222248_0762,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.2,16,6686493,7013978,14027956,137943,15812,118397,2014602.10438813,9862516,1.008,1.010,1.009,5108244,0.728,10216199,0.728,0.000006,0.000005,0.000005
Edge,job_202102222248_0385,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.2,8,1134890,2987624,5975248,93001,11363,19495,803928.1744552347,2119779,1.049,1.046,1.345,1248155,0.418,2490984,0.417,0.018953,0.000145,0.000245
Edge,job_202102222248_0405,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.2,16,1134890,2987624,5975248,86262,10427,15155,746186.7388209604,2129851,1.034,1.079,1.457,1791581,0.600,3564503,0.597,0.031257,0.000043,0.000938
Edge,job_202102221335_0124,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.1,4,1965206,5533214,5533214,26714,4241,20827,1165397.944602553,3877099,1.006,1.006,1.007,2306475,0.417,2306475,0.417,0.000005,0.000002,0.000002
Edge,job_202102222248_0732,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.2,16,6686493,7013978,14027956,135466,13853,117910,1999728.9664128688,9880674,1.008,1.009,1.007,5121168,0.730,10241687,0.730,0.000005,0.000005,0.000005
Edge,job_202102221335_0351,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.2,4,1965206,5533214,5533214,26609,6032,19074,1171132.7432865822,3641699,1.006,1.006,1.005,2299252,0.416,2299252,0.416,0.000002,0.000003,0.000003
Edge,job_202102222248_0557,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.15,4,6686493,7013978,14027956,50014,13614,32977,2989355.9426922323,7413186,1.001,1.001,1.002,4161080,0.593,8321908,0.593,0.000001,0.000000,0.000000
Edge,job_202102222248_0774,8,RoadItaly.vertex,InitializeSampleCC,5,0.02,0.2,8,6686493,7013978,14027956,77027,12669,60126,2358788.784924158,8657938,1.002,1.003,1.005,4782141,0.682,9565009,0.682,0.000002,0.000000,0.000000
Edge,job_202102222248_0219,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.15,8,1134890,2987624,5975248,99153,10952,22696,792656.1196815751,2293686,1.047,1.032,1.419,1237652,0.414,2471372,0.414,0.025807,0.000218,0.000149
Edge,job_202102221335_0368,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.2,8,1965206,5533214,5533214,45866,6016,38228,1114696.3609841708,4938561,1.012,1.012,1.014,2437820,0.441,2437820,0.441,0.000021,0.000008,0.000008
Edge,job_202102222248_0784,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.2,4,6686493,7013978,14027956,54810,14858,36498,3141439.330128432,7934323,1.002,1.003,1.003,3987129,0.568,7974281,0.568,0.000003,0.000001,0.000000
Edge,job_202102221335_0385,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.2,8,1965206,5533214,5533214,42967,5323,35962,1113295.3123649864,4759159,1.010,1.010,1.010,2443081,0.442,2443081,0.442,0.000005,0.000009,0.000009
Edge,job_202102221335_0081,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.1,4,1965206,5533214,5533214,27789,5139,21073,1162377.346442904,3895050,1.003,1.003,1.003,2320998,0.419,2320998,0.419,0.000002,0.000001,0.000001
