MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_0350,8,Youtube.vertex,InitializeSampleHD,10,0.02,0.1,8,1134890,2987624,5975248,25286,2222,21235,811068.6398592559,2236496,1.051,1.047,1.510,1181481,0.395,2358171,0.395,0.027068,0.000190,0.000135
Edge,job_202101261615_0270,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.1,16,1134890,2987624,5975248,15266,3749,11051,725296.9717043813,2042187,1.025,1.111,1.557,1845651,0.618,3672737,0.615,0.024443,0.000044,0.000766
Edge,job_202101261615_0545,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.2,8,1965206,5533214,5533214,42736,4241,37912,1117927.8469527704,5005332,1.011,1.011,1.014,2433804,0.440,2433804,0.440,0.000012,0.000009,0.000009
Edge,job_202101261615_0338,8,Youtube.vertex,InitializeSampleHD,5,0.015,0.1,8,1134890,2987624,5975248,23125,2500,18690,798111.8513228134,2218929,1.045,1.071,1.407,1148481,0.384,2291386,0.383,0.017200,0.000183,0.000184
Edge,job_202101261615_0329,8,Youtube.vertex,InitializeSampleHD,5,0.01,0.1,8,1134890,2987624,5975248,28547,3161,23509,812152.646961848,2269397,1.049,1.036,1.470,1136923,0.381,2272749,0.380,0.012273,0.000110,0.000127
Edge,job_202101261615_0731,8,RoadCanada.vertex,InitializeSampleGD,15,0.02,0.2,8,1965206,5533214,5533214,39834,3481,34081,1112195.871857306,4674139,1.009,1.009,1.012,2451209,0.443,2451209,0.443,0.000017,0.000009,0.000009
Edge,job_202101261615_0450,8,Youtube.vertex,InitializeSampleGD,10,0.015,0.15,16,1134890,2987624,5975248,30004,3009,25058,798788.849029027,2382063,1.040,1.070,1.466,1421158,0.476,2829325,0.474,0.022755,0.000114,0.000468
Edge,job_202101261615_0403,8,Youtube.vertex,InitializeSampleHD,10,0.02,0.2,4,1134890,2987624,5975248,25861,6657,17256,887905.890746672,1964051,1.045,1.034,1.046,761565,0.255,1521983,0.255,0.000817,0.000123,0.000185
Edge,job_202101261615_0707,8,RoadCanada.vertex,InitializeSampleGD,5,0.01,0.2,8,1965206,5533214,5533214,42501,5568,34557,1113955.8441730998,4777301,1.014,1.014,1.011,2447019,0.442,2447019,0.442,0.000019,0.000011,0.000011
Edge,job_202101261615_0513,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.1,16,1965206,5533214,5533214,74737,3212,70981,1099300.3979678066,5808414,1.019,1.019,1.018,2491778,0.450,2491778,0.450,0.000021,0.000022,0.000022
Edge,job_202101261615_0388,8,Youtube.vertex,InitializeSampleHD,15,0.01,0.2,4,1134890,2987624,5975248,20837,2664,16197,844516.0633627692,1906160,1.043,1.037,1.087,850171,0.285,1699039,0.284,0.001440,0.000190,0.000086
Edge,job_202101261615_0593,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.1,8,1965206,5533214,5533214,42467,1844,38436,1116994.9237937366,5053156,1.011,1.011,1.017,2431661,0.439,2431661,0.439,0.000016,0.000009,0.000009
Edge,job_202101261615_0636,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.2,16,1965206,5533214,5533214,75668,2782,70437,1095739.4643005237,5805151,1.018,1.018,1.018,2508337,0.453,2508337,0.453,0.000029,0.000021,0.000021
Edge,job_202101261615_0439,8,Youtube.vertex,InitializeSampleGD,10,0.01,0.15,4,1134890,2987624,5975248,20468,4012,14428,820334.5255624133,1923139,1.017,1.044,1.327,871609,0.292,1741616,0.291,0.006737,0.000040,0.000136
Edge,job_202101261615_0655,8,RoadCanada.vertex,InitializeSampleGD,10,0.01,0.1,4,1965206,5533214,5533214,25324,3758,19145,1166452.3688729454,3908103,1.006,1.006,1.006,2301944,0.416,2301944,0.416,0.000003,0.000003,0.000003
Edge,job_202101261615_0436,8,Youtube.vertex,InitializeSampleGD,5,0.01,0.15,4,1134890,2987624,5975248,20033,3131,15095,812821.0158393804,1896750,1.047,1.020,1.216,876320,0.293,1746630,0.292,0.007872,0.000145,0.000068
Edge,job_202101261615_0482,8,Youtube.vertex,InitializeSampleGD,5,0.02,0.2,8,1134890,2987624,5975248,26291,2806,21542,763709.9514664195,2223477,1.046,1.050,1.485,1212098,0.406,2424196,0.406,0.021566,0.000172,0.000220
Edge,job_202101261615_0660,8,RoadCanada.vertex,InitializeSampleGD,15,0.01,0.1,16,1965206,5533214,5533214,80478,2841,75152,1099550.266729024,5963516,1.017,1.017,1.020,2496477,0.451,2496477,0.451,0.000018,0.000025,0.000025
Edge,job_202101261615_0478,8,Youtube.vertex,InitializeSampleGD,15,0.015,0.2,4,1134890,2987624,5975248,22085,3062,17109,849275.519866146,1994340,1.037,1.028,1.166,835969,0.280,1666648,0.279,0.005367,0.000241,0.000104
Edge,job_202101261615_0332,8,Youtube.vertex,InitializeSampleHD,10,0.01,0.1,8,1134890,2987624,5975248,22065,2284,17744,815763.2408828017,2172785,1.046,1.060,1.474,1133585,0.379,2258443,0.378,0.026041,0.000108,0.000536
Edge,job_202101261615_0715,8,RoadCanada.vertex,InitializeSampleGD,5,0.015,0.2,4,1965206,5533214,5533214,24829,3893,18475,1174503.0615871123,3593658,1.003,1.003,1.006,2307888,0.417,2307888,0.417,0.000005,0.000001,0.000001
