MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102212220_0325,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.2,8,1965206,5533214,5533214,45169,6446,37353,1111344.2736021488,4919190,1.014,1.014,1.016,2453291,0.443,2453291,0.443,0.000022,0.000012,0.000012
Edge,job_202102212220_0194,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.15,16,1965206,5533214,5533214,81345,4630,75079,1089513.1236662415,5949478,1.016,1.016,1.026,2520400,0.456,2520400,0.456,0.000031,0.000022,0.000022
Edge,job_202102212220_0346,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.2,4,1965206,5533214,5533214,26207,5521,19029,1169682.59882664,3649032,1.005,1.005,1.009,2305115,0.417,2305115,0.417,0.000009,0.000002,0.000002
Edge,job_202102212220_0096,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.1,8,1965206,5533214,5533214,46256,6092,38767,1116497.346444557,5044903,1.014,1.014,1.021,2437099,0.440,2437099,0.440,0.000020,0.000010,0.000010
Edge,job_202102212220_0336,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.2,8,1965206,5533214,5533214,44558,5798,37080,1110096.88419045,4827127,1.010,1.010,1.012,2456044,0.444,2456044,0.444,0.000008,0.000008,0.000008
Edge,job_202102212220_0177,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.15,16,1965206,5533214,5533214,79431,6611,71373,1086233.3924601572,5797571,1.015,1.015,1.013,2531363,0.457,2531363,0.457,0.000026,0.000019,0.000019
Edge,job_202102212220_0390,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.2,16,1965206,5533214,5533214,78743,6050,71181,1080733.635030978,5775594,1.019,1.019,1.023,2546996,0.460,2546996,0.460,0.000029,0.000022,0.000022
Edge,job_202102212220_0359,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.2,16,1965206,5533214,5533214,81813,5808,74383,1083008.7997613144,5864396,1.018,1.018,1.025,2540718,0.459,2540718,0.459,0.000039,0.000022,0.000022
Edge,job_202102212220_0203,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,8,1965206,5533214,5533214,43714,4952,37107,1104607.8793016337,4867688,1.013,1.013,1.018,2469294,0.446,2469294,0.446,0.000018,0.000012,0.000012
Edge,job_202102212220_0080,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.1,4,1965206,5533214,5533214,27206,4622,21195,1163438.4505557462,3993867,1.009,1.009,1.004,2311835,0.418,2311835,0.418,0.000002,0.000007,0.000007
Edge,job_202102212220_0102,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.1,16,1965206,5533214,5533214,76986,4164,71229,1084979.4530152853,5761345,1.018,1.018,1.028,2533332,0.458,2533332,0.458,0.000020,0.000020,0.000020
Edge,job_202102212220_0202,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,8,1965206,5533214,5533214,45426,4841,38975,1116323.3996982698,5021570,1.012,1.012,1.012,2438594,0.441,2438594,0.441,0.000012,0.000010,0.000010
Edge,job_202102212220_0188,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.15,8,1965206,5533214,5533214,46996,5508,39892,1119835.2981261339,5100608,1.014,1.014,1.011,2428825,0.439,2428825,0.439,0.000009,0.000011,0.000011
Edge,job_202102212220_0317,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.2,4,1965206,5533214,5533214,26014,5377,19070,1172834.5832234237,3678839,1.008,1.008,1.011,2297674,0.415,2297674,0.415,0.000016,0.000005,0.000005
Edge,job_202102212220_0405,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.2,16,1965206,5533214,5533214,81957,8885,71379,1082781.1477773914,5712421,1.017,1.017,1.017,2542950,0.460,2542950,0.460,0.000031,0.000018,0.000018
