MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_5430,8,RoadItaly.vertex,InitializeSampleRD,5,0.02,0.1,4,6686493,7013978,14027956,45939,4810,39965,3001831.726456863,8108671,1.001,1.002,1.003,4124515,0.588,8248826,0.588,0.000001,0.000000,0.000000
Edge,job_202101261615_5447,8,RoadItaly.vertex,InitializeSampleRD,10,0.02,0.1,8,6686493,7013978,14027956,71456,5245,65034,2320588.3239852157,9208968,1.005,1.003,1.006,4809164,0.686,9618212,0.686,0.000005,0.000002,0.000001
Edge,job_202101261615_3172,8,Youtube.vertex,InitializeSampleRD,15,0.02,0.15,16,1134890,2987624,5975248,31208,3635,27028,799493.9316573853,2410424,1.058,1.060,1.478,1468647,0.492,2924658,0.489,0.038634,0.000181,0.000501
Edge,job_202101261615_5947,8,RoadItaly.vertex,InitializeSampleHD,10,0.015,0.15,16,6686493,7013978,14027956,132056,6902,120460,1973561.474180749,9595203,1.006,1.010,1.015,5167654,0.737,10335229,0.737,0.000007,0.000003,0.000004
Edge,job_202101261615_3400,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.1,16,1134890,2987624,5975248,37349,2370,33061,785997.0519485199,2407410,1.047,1.054,1.420,1439221,0.482,2875766,0.481,0.030404,0.000236,0.000225
Edge,job_202101261615_3945,8,RoadCanada.vertex,InitializeSampleRD,5,0.02,0.15,4,1965206,5533214,5533214,22641,3230,18889,1168183.619571628,3811237,1.005,1.005,1.006,2305390,0.417,2305390,0.417,0.000005,0.000002,0.000002
Edge,job_202101261615_6997,8,LiveJournal.vertex,InitializeSampleHD,10,0.01,0.2,16,4847571,68993773,86220856,226046,12400,205491,3269470.0482196715,12316650,1.049,1.146,1.305,25754887,0.373,32707190,0.379,0.011072,0.000136,0.000514
Edge,job_202101261615_2396,8,Youtube.vertex,InitializeSampleGD,0,0.015,0.1,16,1134890,2987624,5975248,33737,3111,28669,773767.994400041,2374875,1.061,1.071,1.447,1438314,0.481,2862868,0.479,0.033043,0.000168,0.000363
Edge,job_202101261615_3542,8,Youtube.vertex,InitializeSampleHD,5,0.02,0.15,8,1134890,2987624,5975248,25633,3041,20677,848762.1198106199,2466161,1.045,1.027,1.394,1172780,0.393,2336740,0.391,0.021393,0.000305,0.000083
Edge,job_202101261615_6975,8,LiveJournal.vertex,InitializeSampleHD,5,0.01,0.2,4,4847571,68993773,86220856,110489,12193,90020,3895533.3566522603,9604484,1.011,1.036,1.340,11957556,0.173,15134715,0.176,0.017284,0.000035,0.000079
