MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202102241051_0348,8,Youtube.vertex,InitializeSampleCC,15,0.01,0.15,4,1134890,2987624,5975248,89841,11252,10751,1915600.5729984185,1724670,1.788,1.664,1.046,936741,0.314,1866042,0.312,0.000373,0.034965,0.025238
Vertex,job_202102250107_0163,8,RoadItaly.vertex,InitializeSampleCC,15,0.02,0.15,8,6686493,7013978,14027956,216608,12133,200653,1.1910192530922052E7,20454757,1.003,1.002,1.000,2900191,0.413,5956328,0.425,0.000000,0.000001,0.000000
Vertex,job_202102250107_0007,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.1,4,6686493,7013978,14027956,114764,13885,97674,1.1433614985038769E7,14604789,1.002,1.001,1.000,2981915,0.425,6055975,0.432,0.000000,0.000000,0.000000
Vertex,job_202102250107_0149,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.15,4,6686493,7013978,14027956,111669,10604,97228,1.1469110091310397E7,14712941,1.001,1.001,1.000,2952576,0.421,6003936,0.428,0.000000,0.000000,0.000000
Vertex,job_202102241051_0387,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.15,8,1134890,2987624,5975248,93104,9824,15840,1946784.5205360781,1843993,1.782,1.672,1.048,1141378,0.382,2279115,0.381,0.000416,0.025964,0.018374
Vertex,job_202102250107_0111,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.15,16,6686493,7013978,14027956,418769,14962,400113,1.2419296584465519E7,25381095,1.007,1.009,1.008,2682690,0.382,5606657,0.400,0.000004,0.000004,0.000004
Vertex,job_202102241051_0162,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,8,1965206,5533214,5533214,38312,5329,31252,3351156.437736477,3916128,1.006,1.006,1.001,2532216,0.458,2532216,0.458,0.000000,0.000001,0.000001
Vertex,job_202102241051_0297,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.1,8,1134890,2987624,5975248,96311,10992,16309,1909893.1267355825,1865191,1.992,1.850,1.048,1150849,0.385,2298114,0.385,0.000373,0.038230,0.027581
Vertex,job_202102241051_0154,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.15,16,1965206,5533214,5533214,40333,5183,33364,2990129.6086223465,2661336,1.003,1.003,1.003,3420929,0.618,3420929,0.618,0.000001,0.000001,0.000001
Vertex,job_202102250107_0074,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.1,16,6686493,7013978,14027956,419530,11214,404812,1.2451991734139107E7,25518252,1.007,1.008,1.008,2662803,0.380,5563870,0.397,0.000005,0.000004,0.000004
Vertex,job_202102241051_0163,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,16,1965206,5533214,5533214,41989,6962,33200,2989273.2163604163,2662070,1.005,1.005,1.004,3422638,0.619,3422638,0.619,0.000001,0.000002,0.000002
Vertex,job_202102241051_0351,8,Youtube.vertex,InitializeSampleCC,15,0.01,0.15,8,1134890,2987624,5975248,91719,10813,14258,1927001.6310070255,1861157,1.554,1.422,1.039,1259780,0.422,2502958,0.419,0.000359,0.019459,0.013098
Vertex,job_202102241051_0342,8,Youtube.vertex,InitializeSampleCC,10,0.01,0.15,8,1134890,2987624,5975248,93094,11325,14771,1923927.3095447174,1814219,1.954,1.801,1.044,1205320,0.403,2402445,0.402,0.000321,0.031250,0.022096
Vertex,job_202102241051_0391,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.15,4,1134890,2987624,5975248,85654,10511,9238,1913916.555107709,1667378,1.519,1.434,1.046,1019882,0.341,2036445,0.341,0.000286,0.022401,0.016358
Vertex,job_202102250107_0189,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,8,6686493,7013978,14027956,222404,15605,202820,1.1912225015063528E7,20265070,1.001,1.001,1.001,2902997,0.414,5959591,0.425,0.000000,0.000000,0.000000
Vertex,job_202102250107_0173,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.2,16,6686493,7013978,14027956,430381,16357,409961,1.2413858044008996E7,25520161,1.008,1.009,1.008,2687732,0.383,5616363,0.400,0.000006,0.000006,0.000007
Vertex,job_202102241051_0176,8,RoadCanada.vertex,InitializeSampleCC,10,0.01,0.2,4,1965206,5533214,5533214,26405,6884,17864,3319281.8855652777,3139052,1.002,1.002,1.001,2375551,0.429,2375551,0.429,0.000000,0.000000,0.000000
Vertex,job_202102241051_0106,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.15,8,1965206,5533214,5533214,38059,6353,30108,3303480.7284717187,3662184,1.005,1.005,1.003,2641107,0.477,2641107,0.477,0.000001,0.000002,0.000002
Vertex,job_202102241051_0040,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.1,4,1965206,5533214,5533214,26428,5197,19699,3345270.410717702,3580196,1.001,1.001,1.001,2304291,0.416,2304291,0.416,0.000000,0.000000,0.000000
Vertex,job_202102250107_0158,8,RoadItaly.vertex,InitializeSampleCC,15,0.02,0.15,4,6686493,7013978,14027956,114578,12454,98321,1.1459400696621777E7,14688063,1.002,1.001,1.000,2959735,0.422,6018775,0.429,0.000000,0.000000,0.000000
Vertex,job_202102241051_0209,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.2,16,1965206,5533214,5533214,40678,5605,33205,2997595.5127890743,2636834,1.006,1.006,1.004,3410513,0.616,3410513,0.616,0.000001,0.000002,0.000002
Vertex,job_202102241051_0440,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.2,8,1134890,2987624,5975248,96560,10599,17444,1964250.6382254136,1893442,1.587,1.502,1.046,1172667,0.393,2339629,0.392,0.000467,0.020875,0.015544
Vertex,job_202102241051_0033,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.1,4,1965206,5533214,5533214,25993,4545,19772,3353519.300424994,3646418,1.005,1.005,1.003,2276705,0.411,2276705,0.411,0.000002,0.000003,0.000003
Vertex,job_202102241051_0125,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,8,1965206,5533214,5533214,39155,6095,31325,3327934.125160528,3823029,1.008,1.008,1.005,2580664,0.466,2580664,0.466,0.000002,0.000003,0.000003
