MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_1083,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.1,4,1965206,5533214,5533214,24657,2525,19963,1157137.988874362,3914928,1.006,1.006,1.008,2334357,0.422,2334357,0.422,0.000008,0.000003,0.000003
Edge,job_202101261615_1203,8,RoadCanada.vertex,InitializeSampleGD,10,0.015,0.15,4,1965206,5533214,5533214,27952,5789,19705,1165076.5735247666,3920289,1.007,1.007,1.009,2317224,0.419,2317224,0.419,0.000007,0.000004,0.000004
Edge,job_202101261615_1167,8,RoadCanada.vertex,InitializeSampleGD,10,0.01,0.1,4,1965206,5533214,5533214,26027,3672,20235,1165114.5879197451,3962397,1.005,1.005,1.004,2312222,0.418,2312222,0.418,0.000001,0.000002,0.000002
Edge,job_202101261615_1118,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.15,16,1965206,5533214,5533214,73451,3225,67870,1094121.0915863004,5645483,1.016,1.016,1.026,2512157,0.454,2512157,0.454,0.000023,0.000021,0.000021
Edge,job_202101261615_0972,8,Youtube.vertex,InitializeSampleGD,15,0.02,0.15,4,1134890,2987624,5975248,18199,2784,13386,821032.8811794026,1913073,1.013,1.018,1.307,934676,0.313,1865230,0.312,0.007802,0.000017,0.000053
Edge,job_202101261615_1393,8,BerkeleyStan.vertex,InitializeSampleHD,10,0.015,0.2,8,685230,7600595,13298940,20652,7413,11552,548825.0413066082,1108492,1.045,1.123,1.398,1361932,0.179,2425151,0.182,0.005264,0.000221,0.000931
Edge,job_202101261615_1521,8,BerkeleyStan.vertex,BGRAP,5,0.01,0.1,4,685230,7600595,13298940,12398,0,11819,516321.86660372536,1156216,1.050,1.084,1.210,1329612,0.175,2286860,0.172,0.006459,0.000224,0.000548
Edge,job_202101261615_0828,8,Youtube.vertex,InitializeSampleRD,15,0.015,0.2,4,1134890,2987624,5975248,17985,3292,14236,836297.0339720955,1980544,1.027,1.021,1.284,931851,0.312,1852897,0.310,0.009905,0.000095,0.000108
Edge,job_202101261615_1305,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.01,0.2,4,685230,7600595,13298940,11963,4579,6863,588274.966243287,978287,1.017,1.056,1.399,752202,0.099,1299854,0.098,0.014582,0.000029,0.000430
Edge,job_202101261615_1386,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.01,0.2,4,685230,7600595,13298940,13755,3577,8393,593860.2692937112,1012910,1.033,1.027,1.117,795278,0.105,1358486,0.102,0.001692,0.000156,0.000056
