JOB ID,job_202102221335_0034
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,4
REAL LOADS,1394653_1374866_1377018_1386677_
VIRTUAL LOADS,1394653_1374866_1377018_1386677_
VIRTUAL COUNTS,494566_488944_488566_493130_
REAL KLU,1.1815054E-5
VIRTUAL KLU,1.1815054E-5
VIRTUAL COUNT KLU,1.00996385E-5
REAL AVGD KLU,8.5062527E-7
VIRTUAL AVGD KLU,8.5062527E-7

REAL E MAXNORMLOAD,1.008
REAL E MAXMINLOAD,1.014
REAL EB JSD,0.000006
REAL E KLU,0.000012
REAL V MAXNORMLOAD,1.007
REAL V MAXMINLOAD,1.012
REAL VB JSD,0.000005
REAL V KLU,0.000010
REAL AVGD MAXNORM,1.002
REAL AVGD MAXMIN,1.003
REAL AVGDB JSD,0.000000
REAL AVGD KLU,0.000001
REAL EC PCT,0.416
REAL COMMVOL PCT,0.347
REAL LOCE PCT,0.584
REAL EC,2301591
REAL COMMVOL,1913625
REAL LOCE,3231623
REAL COMMVOL NORMF,5516959
REAL SCORE,1167098.631126906
VIRTUAL E MAXNORM LOAD,1.008
VIRTUAL E MAXMIN LOAD,1.014
VIRTUAL ED JSD,0.000006
VIRTUAL E KLU,0.000012
VIRTUAL V MAXNORM LOAD,1.007
VIRTUAL V MAXMIN LOAD,1.012
VIRTUAL VB JSD,0.000005
VIRTUAL V KLU,0.000010
VIRTUAL AVGD MAXNORM,1.002
VIRTUAL AVGD MAXMIN,1.003
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000001
VIRTUAL EC PCT,0.416
VIRTUAL COMMVOL PCT,0.347
VIRTUAL LOCE PCT,0.584
VIRTUAL EC,2301591
VIRTUAL COMMVOL,1913625
VIRTUAL LOCE,3231623
VIRTUAL COMMVOL NORMF,5516959

SAMPLING START,2
SAMPLING END,26
SAMPLING CYCLES,7
SAMPLING EXTRA,1
LP START,27
LP END,84
LP CYCLES,29
TOT MIGRATIONS,3991753

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,17919809
LP MESSAGES,12348087
SHUTDOWN MESSAGES,218546
TOTAL MESSAGES,36019656

INPUT TIME (not included in total),3637
INITIALIZE TIME,2245
SETUP TIME,28
Initializing algorithm time,1567
LP time,21136
Avg. LP cycle time,728
Sampling time,5987
Avg. Sampling cycle time,855.2857
TOTAL TIME,28690
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.01
TAU,15
SAMPLING_ERROR,false
