JOB ID,job_202102222248_0182
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,4
REAL LOADS,751497_756929_727430_751768_
VIRTUAL LOADS,1538088_1466103_1471962_1499095_
VIRTUAL COUNTS,296262_304198_290867_243563_
REAL KLU,8.522626E-5
VIRTUAL KLU,1.301731E-4
VIRTUAL COUNT KLU,0.0025873496
REAL AVGD KLU,0.004325052
VIRTUAL AVGD KLU,0.0044547915

REAL E MAXNORMLOAD,1.013
REAL E MAXMINLOAD,1.041
REAL EB JSD,0.000043
REAL E KLU,0.000085
REAL V MAXNORMLOAD,1.072
REAL V MAXMINLOAD,1.249
REAL VB JSD,0.001314
REAL V KLU,0.002587
REAL AVGD MAXNORM,1.172
REAL AVGD MAXMIN,1.240
REAL AVGDB JSD,0.001535
REAL AVGD KLU,0.004325
REAL EC PCT,0.262
REAL COMMVOL PCT,0.282
REAL LOCE PCT,0.738
REAL EC,783266
REAL COMMVOL,239746
REAL LOCE,2204358
REAL COMMVOL NORMF,850988
REAL SCORE,870519.8302369167
VIRTUAL E MAXNORM LOAD,1.030
VIRTUAL E MAXMIN LOAD,1.049
VIRTUAL ED JSD,0.000065
VIRTUAL E KLU,0.000130
VIRTUAL V MAXNORM LOAD,1.072
VIRTUAL V MAXMIN LOAD,1.249
VIRTUAL VB JSD,0.001314
VIRTUAL V KLU,0.002587
VIRTUAL AVGD MAXNORM,1.169
VIRTUAL AVGD MAXMIN,1.277
VIRTUAL AVGDB JSD,0.001586
VIRTUAL AVGD KLU,0.004455
VIRTUAL EC PCT,0.262
VIRTUAL COMMVOL PCT,0.316
VIRTUAL LOCE PCT,0.738
VIRTUAL EC,1564074
VIRTUAL COMMVOL,718515
VIRTUAL LOCE,4411174
VIRTUAL COMMVOL NORMF,2274609

SAMPLING START,2
SAMPLING END,29
SAMPLING CYCLES,8
SAMPLING EXTRA,1
LP START,30
LP END,101
LP CYCLES,36
TOT MIGRATIONS,1969806

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,24262909
LP MESSAGES,16054022
SHUTDOWN MESSAGES,61510
TOTAL MESSAGES,43366065

INPUT TIME (not included in total),2752
INITIALIZE TIME,2197
SETUP TIME,19
Initializing algorithm time,64850
LP time,17949
Avg. LP cycle time,498
Sampling time,10925
Avg. Sampling cycle time,1365.625
TOTAL TIME,93724
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.015
TAU,5
SAMPLING_ERROR,false
