JOB ID,job_202102221335_0174
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadCanada.vertex
VERTICES,1965206
REAL EDGES,5533214
VIRTUAL EDGES,5533214
PARITIONS,8
REAL LOADS,699513_687955_695152_699368_690755_686843_686858_686770_
VIRTUAL LOADS,699513_687955_695152_699368_690755_686843_686858_686770_
VIRTUAL COUNTS,248798_243684_247193_249266_246048_245603_241982_242632_
REAL KLU,1.3678551E-5
VIRTUAL KLU,1.3678551E-5
VIRTUAL COUNT KLU,2.5879734E-5
REAL AVGD KLU,1.0694359E-5
VIRTUAL AVGD KLU,1.0694359E-5

REAL E MAXNORMLOAD,1.011
REAL E MAXMINLOAD,1.019
REAL EB JSD,0.000010
REAL E KLU,0.000014
REAL V MAXNORMLOAD,1.015
REAL V MAXMINLOAD,1.030
REAL VB JSD,0.000019
REAL V KLU,0.000026
REAL AVGD MAXNORM,1.008
REAL AVGD MAXMIN,1.015
REAL AVGDB JSD,0.000004
REAL AVGD KLU,0.000011
REAL EC PCT,0.440
REAL COMMVOL PCT,0.398
REAL LOCE PCT,0.560
REAL EC,2433302
REAL COMMVOL,2200516
REAL LOCE,3099912
REAL COMMVOL NORMF,5533205
REAL SCORE,1117403.5013332793
VIRTUAL E MAXNORM LOAD,1.011
VIRTUAL E MAXMIN LOAD,1.019
VIRTUAL ED JSD,0.000010
VIRTUAL E KLU,0.000014
VIRTUAL V MAXNORM LOAD,1.015
VIRTUAL V MAXMIN LOAD,1.030
VIRTUAL VB JSD,0.000019
VIRTUAL V KLU,0.000026
VIRTUAL AVGD MAXNORM,1.008
VIRTUAL AVGD MAXMIN,1.015
VIRTUAL AVGDB JSD,0.000004
VIRTUAL AVGD KLU,0.000011
VIRTUAL EC PCT,0.440
VIRTUAL COMMVOL PCT,0.398
VIRTUAL LOCE PCT,0.560
VIRTUAL EC,2433302
VIRTUAL COMMVOL,2200516
VIRTUAL LOCE,3099912
VIRTUAL COMMVOL NORMF,5533205

SAMPLING START,2
SAMPLING END,29
SAMPLING CYCLES,8
SAMPLING EXTRA,1
LP START,30
LP END,109
LP CYCLES,40
TOT MIGRATIONS,5011176

INITIAL MESSAGES,5533214
SAMPLING MESSAGES,18525718
LP MESSAGES,15693120
SHUTDOWN MESSAGES,235392
TOTAL MESSAGES,39987444

INPUT TIME (not included in total),3703
INITIALIZE TIME,2233
SETUP TIME,16
Initializing algorithm time,1390
LP time,39430
Avg. LP cycle time,985
Sampling time,6283
Avg. Sampling cycle time,785.375
TOTAL TIME,47103
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.01
TAU,15
SAMPLING_ERROR,false
